GUID идентификатор элемента;Название элемента;Путь к элементу;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"F807F030-F95D-D194-5E7D-FEC3BB3974F7";"Как лечить ушиб ребра";;"BbEjAXN-3YU";"Ушиб ребра: симптомы и лечение в домашних условиях - ОкейДок";"https://okeydoc.ru/ushib-rebra-simptomy-i-lechenie-v-domashnix-usloviyax/";"В статье описаны симптомы, методы дифференциальной диагностики и лечения ушиба ребер.";"Сильный ушиб ребра что делать? Лечение и симптомы ...";"http://medglaz.ru/ushib-rebra-chto-delat-simptomy-lechenie-pervaya-pomoshh.html";"Ищите ответ на вопрос - как лечить ушиб ребра? Вы его нашли! Какой бы не был сильный ушиб ребра, в нашей статье вы узнаете, что делать.";"Как лечить травму ребер народными способами — Справочник о ...";"http://ushib.com/kak-lechit-travmu-reber-narodnymi-sposobami.html";"... разбавив 1:2 с водой, наложить на ушибленное ребро;; Если ушиб давний, то к ..."
"DB8EC6B5-1798-732C-BADD-05F3CCF83C54";"Как лечить седалищный нерв";;"zlztSwVDtCs";"Лечение седалищного нерва | Центр медицины ...";"http://painclinic.com.ua/lechenie-sedalishhnogo-nerva-2/";"Лечение седалищного нерва. Проявления заболевания. Мы способны применить весь спектр возможного лечения седалищного нерва. Методы ...";"Как лечить ишиас в домашних условиях: лекарства, народные ...";"https://pozvonochnik.guru/zashhemleniya/lechenie-ishiasa-v-domashnih-usloviyah.html";"Лечение ишиаса в домашних условиях. Защемление седалищного нерва или воспаление имеют одно клиническое название – ишиас (седалище).";"Как лечить защемление седалищного нерва - Мой семейный врач";"https://myfamilydoctor.ru/kak-lechit-zashhemlenie-sedalishhnogo-nerva/";"Седалищный нерв является самым крупным нервом нашего тела. В связи с этим его защемление – это боль, дискомфорт и потеря на некоторое время ..."
"60D977BE-58CE-8E58-A730-C30A791C64FA";"Как вылечить воспаленную родинку";;"IC4ire0BSdA";"Воспалилась родинка - фото, на лице, что делать, если, висячая ...";"http://kozha.hvatit-bolet.ru/vospalilas-rodinka.html";"Почти все родинки, которые имеются на теле человека, являются доброкачественными и не изменяются ... Но, если родинка воспалилась или с ней начали происходить какие-либо изменения, нельзя оставлять этот ... Чем лечить.";"Лечение родинок в домашних условиях";"http://antirodinka.ru/lechenie-rodinok-v-domashnich-usloviyach";"Лечение родинок в домашних условиях. Как вылечить родинки в домашних условиях? Специалисты современной медицины утверждают, что лечение ...";"Что делать, если родинка воспалилась, покраснела или болит";"https://beinusov.ru/info/rodinka-vospalilas-i-pokrasnela/";"Нередко родинки воспаляются и вызывают беспокойство. ... Получившийся компресс накладывайте на область воспалённой родинки на 30 минут, ..."
"6EA7B8AE-ED27-6DF3-890F-2152A3E78B2E";"Как лечить молочницу после приема антибиотиков";;"SbLdRV3AVOY";"Молочница после антибиотиков - особенности проявлений ...";"https://gribokube.ru/molochnitsa/molochnica-posle-antibiotikov.html";"Кандидоз (молочница) слизистой ... После приема антибиотиков ... При неправильно подобранном лечении они превращаются в язвы. 3.";"Молочница после антибиотиков? Ни за что! Профилактика ...";"https://www.7ya.ru/article/Molochnica-posle-antibiotikov-Ni-za-chto/";"После антибиотиков: профилактика молочницы. Лечение молочницы: ... Ни за что! Прием антибиотиков: свечи от молочницы - профилактика и лечение.";"Молочница после антибиотиков: как восстановить микрофлору ...";"http://zdravstvuy.info/%3Fp%3D2817";"Еще во время приема антибиотиков можно ... Лечение молочницы после антибиотиков ..."
"3735864A-FB35-4710-BD77-837E8071E089";"Как лечить ушиб головы";;"#NAME?";"Ушиб головы, симптомы, первая помощь, лечение, последствия";"http://medikmy.ru/ushibi/ushib-golovy-simptomy-pervaya-pomoshh-lechenie.html";"Очень коварная травма, ушиб головы, которая может привести к серьёзным последствиям. При малейших симптомах, нужно провести первую помощь и ...";"Ушиб головы - что делать? Первая помощь, диагностика, лечение";"https://zdravlab.com/ushib-golovy/";"Что такое ушиб головы? Ушибы всегда относились к промежуточному виду травм, которые таят в себе много «сюрпризов». Ушиб – это обычно травма ...";"Ушиб головы: симптомы, первая помощь, лечение - vcmed.ru";"http://vcmed.ru/ushib-golovy/";"Ушиб головы – закрытое механическое повреждение без какого-либо явного нарушения целостности покровов кожи. Чаще всего причинами ушибов ..."
"7A7DA36A-B05F-808C-9ED9-304A60C13964";"Как вылечить молочницу во рту";;"7FW6dnF_rtg";"Молочница во рту: кандидоз полости рта, оральный кандидоз";"https://doc.ua/bolezn/kandidoz/molochnica-vo-rtu-simptomy-i-lechenie";"Как лечить молочницу во рту? В первую очередь – правильное питание. Если вы хотите избавиться от орального кандидоза – исключите из рациона ...";"Молочница во рту у детей и взрослых: симптомы и ... - Likar.info";"http://www.likar.info/stomatologiya/article-78483-molochnitsa-vo-rtu-u-detej-i-vzroslyh-simptomy-i-lechenie/";"28 окт 2016 ... Разновидности молочницы во рту: десен, уголков рта, ротоглоточный. ... или матери ребенка с молочницей – лечить полость рта.";"Как лечить молочницу во рту у взрослых: используем народные ...";"http://zhenschine.ru/lechenie-molochnitcy-rta-narodnymi-sredstvami/";"Для молочницы рта (орального кандидоза) характерны кремово-белые пятна, которые появляются на языке и внутренних стенах щек. Эти язвы ..."
"4529E5C8-817B-F472-7922-9E2A7A84569C";"Как лечить защемление";;"7CO3HVKR5lU";"Как лечить защемленный нерв - wikiHow";"https://ru.wikihow.com/%25D0%25BB%25D0%25B5%25D1%2587%25D0%25B8%25D1%2582%25D1%258C-%25D0%25B7%25D0%25B0%25D1%2589%25D0%25B5%25D0%25BC%25D0%25BB%25D0%25B5%25D0%25BD%25D0%25BD%25D1%258B%25D0%25B9-%25D0%25BD%25D0%25B5%25D1%2580%25D0%25B2";"Как лечить защемленный нерв. Защемленный нерв в шее, спине, руках и других местах может доставлять сильную боль и существенно нарушать ...";"Защемление нерва – причины, симптомы и лечение. Что делать ...";"https://www.ayzdorov.ru/lechenie_zaschemlenie_nerva_chto.php";"Лечение защемления нерва; Профилактика защемления нерва ... Защемление нерва возникает, когда нервные корешки, которые отходят от спинного ...";"Лечение защемления нерва в Москве и Санкт-Петербурге ...";"https://www.clinica-tibet.ru/bolezni/nervy/zaschnerva/";"Диагностика и лечение защемления нерва методами тибетской медицины, наша клиника ✓ более 10 лет на рынке ✓ мы вылечили более 12 000 ..."
"3082E0FB-9F9A-7605-4A89-97244AA1F49E";"Как лечить мастит у коров";;"BQ0HZ1qvG6g";"Мастит у коров лечат уксусом с глиной | Новости на Gazeta.ua";"https://gazeta.ua/ru/articles/sad-newspaper/_mastit-u-korov-lechat-uksusom-s-glinoj/554229";"28 апр 2014 ... У меня четыре коровы, так я хорошо знаю, что такое мастит. Если запустишь — считай, корова пропала. Где-то чуть потянет или ...";"Мастит у коров: симптомы и лечение в домашних условиях";"https://vetugolok.ru/skot/korovy/mastit.html";"Все про мастит у коров. От чего он появляется и какие симптомы и признаки его выдают. Особенности амбулаторного и домашнего лечения животных.";"Мастит у коровы: лечение в домашних условиях, препараты и ...";"http://agronomam.com/zhivotnovodstvo/korovy/zabolevaniya-02/lechenie-mastita-u-korov.html";"Что собой представляет лечение мастита у коров в домашних условиях? Виды и характеристика заболевания. Признаки, лечение и профилактика."
"0A0CCCAB-5F00-D06B-56C8-C3A347F96B70";"Как лечить воспаление сухожилия";;"GWTCoWm1Jvk";"Тендинит сухожилия: лечение, что это такое, как лечить ...";"http://sustavlive.ru/drugie-bolezni/tendinit-lechenie.html";"Что такое тендинит сухожилия: причины, симптомы и лечение заболевания. Формы тендинита. Как и чем лечить воспаление сухожилий.";"Лечение воспаления сухожилий кисти руки – фиксирующая ...";"http://mjusli.ru/zhenskoe_zdorove/other/vospalenie-suxozhiliya-kisti-ruki";"Тендивит – воспаление сухожилий, особых тканей, отвечающих за крепление мышц к костям. Как производится лечение воспаления сухожилия кисти ...";"Лечение сухожилий народными средствами и методами";"https://www.ayzdorov.ru/lechenie_syhojiliya_nar.php";"Тендинит, является воспалением сухожилия и случается не только от физических нагрузок, но и от присутствия инфекций. Чаще всего страдает ..."
"A8328B1A-4BA6-FBFD-533F-0A07AFB59C89";"Как лечить трещину кости";;"Pf3iiDiIY80";"Трещина в кости: симптомы, первая помощь, лечение";"https://otravmah.com/treshhina/v-kosti";"Трещины в костях - это менее опасные повреждения, нежели переломы. Но такие травмы также требуют особого внимания и правильного лечения, так ...";"Трещина в кости на ноге, руке: симптомы, лечение - vseotravmah.ru";"https://vseotravmah.ru/perelomy/treshchina-v-kosti-nogi-i-ruki.html";"Ежедневно люди сталкиваются с самыми разными повреждениями, среди которых нередко возникают трещины в кости. Эта травма представляет ...";"Трещина в кости на ноге: симптомы и лечение";"http://otnogi.ru/bolezn/drugie/treshhina-v-kosti-na-noge.html";"28 авг 2016 ... Травмы случаются совершенно неожиданно в самые обычные дни. Данная статья подскажет, как лечится трещина в кости на ноге."
"A5D384AF-2B2C-0120-231D-45A2703AA91C";"Как лечить плешь на голове";;"9UcsLJrXMqE";"Появилась лысина на голове – что делать - Alerana";"https://alerana.ru/stati/profilaktika-vypadeniya-volos/kak_izbavitsa_ot_lysiny/";"Но что делать, если вы замечаете просветы на голове, и лысина начинает ... определить первопричины появления лысины, чтобы назначить лечение.";"Лысина на голове у мужчин: лечение, причины, как избавиться от ...";"https://www.hfe-hfe.ru/informatoriy-patsienta/poleznaya-informatsiya/lyisina-na-golove-prichinyi-lechenie-profilaktika/";"Лысина на голове: причины, лечение, профилактика. Так, например, если у мужчины только начали редеть волосы на макушке и появились небольшие ...";"Плешь на голове у мужчин, женщин и детей: причины появления ...";"http://hairproblem.ru/143-plesh-na-golove.html";"Плешь на голове - не только косметический недостаток, но и признак ... Трихологи не рекомендуют лечить облысение самостоятельно, такие методы ..."
"59075C0A-AF99-D9F0-6933-BE08E8C6E621";"Как лечить спазмы кишечника";;"ttvMvI1bxjs";"Спазмы в кишечнике: что делать? | Bolzheludka.ru";"http://bolzheludka.ru/spazmyi-v-kishechnike/";"Современная медицина использует следующие методы для лечения кишечных спазмов: Медикаментозное лечение.";"Боли и спазмы в кишечнике: симптомы, причины, лечение ...";"http://gidmed.com/gastroenterologiya/simptomy-gastro/spazmy-v-kishechnike.html";"Как проявляются спазмы тонкого и толстого кишечника? Почему возникают? Диагностика и лечение. Таблетки, диета, домашние средства.";"Спазмы кишечника: симптомы, причины и лечение";"http://proctologi.com/kishechnik/spazmy-kishechnika-prichiny-i-lechenie.html";"Почему возникают спазмы кишечника: причины и лечение патологии всегда связаны друг с другом. С чем связаны неприятные ощущения в кишечнике и  ..."
"5BDC3F44-7E4A-DFF4-AC8B-59AA5796B62F";"Как вылечить частое мочеиспускание";;"JBMVYtsnNXM";"Частое мочеиспускание у женщин: причины и лечение";"https://myfamilydoctor.ru/chastoe-mocheispuskanie-u-zhenshhin-prichiny-i-lechenie/";"28 апр 2014 ... Во многих случаях частое мочеиспускание у женщин не является ... Подробнее о том как лечить цистит дома читайте в нашей ...";"Таблетки от частого мочеиспускания у мужчин. Чем лечить ...";"http://oprostate.com/raznoe/tabletki-ot-chastogo-mocheispuskaniya-u-muzhchin.html";"Причины частых позывов к мочеиспусканию у мужчин. Лекарство от частого мочеиспускания у мужчин. Лечение частого мочеиспускания у мужчин ...";"Частое мочеиспускание лечение народными средствами ...";"https://www.sudba.info/chastoe-mocheispuskanie-lechenie-narodnymi-sredstvami/";"От частого мочеиспускания – народное лечение чаями и отварами ... принимать это лекарство как можно чаще за день, чтобы вылечиться по быстрее."
"6D67A09A-36B0-BFC3-3AF1-87B89B966F2A";"Как лечить гарднереллу";;"1amxdEj6zWQ";"Гарднереллез - лечение болезни. Симптомы и профилактика ...";"http://www.likar.info/bolezni/Gardnerellez/";"Симптомы и лечение - Гарднереллез, диагностика и профилактика болезни. Описание болезни, симптомы, клиническая картина и методы лечения ...";"Посоветуйте срочно схему лечения гарднереллеза. Сил нет с ним ...";"http://www.woman.ru/health/woman-health/thread/4259800/";"10 янв 2013 ... Я отчаялась. За что это? Инфекций нет, зато есть ОН-гарднереллез. У кого был-тот поймет. Анализы сдавала 4 раза-всегда все чисто, ...";"Гарднереллез - лечение гарднереллеза у женщин, чем лечить ...";"http://www.missfit.ru/woman/gardnerellez-lechenie/";"ЧЕМ ЛЕЧИТЬ ГАРДНЕРЕЛЛЕЗ. Лечение гарднереллеза на сегодняшний день проводится двумя препаратами."
"E7BE817D-30FE-46FA-5222-181C1BFA7F34";"Как лечить шишки в ушах";;"0H4LTLceYuU";"Как лечить шишки в ушах / Docteka.ru";"https://docteka.ru/statyi/lechenie-bolezney/kak-lechit-shishki-v-ushah/";"Шишки в ушах могут появляться по разным причинам. Иногда эти неприятные образования являются следствием воспаленных лимфоузлов, иногда это ...";"Чем лечить шишки в мочке уха. Боль в ухе как лечить ...";"http://vzdorovomtele.ru/bol-v-uhe-kak-lechit/chem-lechit-shishki-v-mochke-uha.html";"Шишка на мочке уха относится к определенного рода патологии, которая была ... В подобной ситуации требуется срочное лечение, потому как к этой  ...";"Как лечить шишку в ухе? - Лечение заболеваний Уха Горла и Носа";"https://gorlonos.com/ushi/kak-lechit-shishku-v-uhe.html";"Подробно о том, что такое шишки в ушах людей и что провоцирует их возникновение. Способы лечения такого образования в зависимости от причины ..."
"3B54AC29-A1FE-E5C2-69DA-B01345C6E341";"Как лечить косточки на большом пальце";;"mS5vQ1kc4UQ";"Косточка на ноге большого пальца сверху - причины и лечение";"https://bezvalgusa.ru/lechenie/kostochka-na-noge-bolshogo-palca-sverhu.html";"Косточка на ноге большого пальца сверху - косметическая деформация. Виды косточек на большом пальце ноги, причины их появления, лечение и ...";"Выпирающая косточка на большом пальце ноги — самое ...";"http://www.woman.ru/health/varikoz/article/101079/";"Выпирающая косточка на большом пальце ноги — проблема, которая знакома многим женщинам. Почему появляется эта «шишка», и можно ли убрать ...";"Как лечить косточку на ногах? - Мой семейный врач";"https://myfamilydoctor.ru/kak-lechit-kostochku-na-nogax/";"В развитии вальгусной деформации большого пальца выделяют следующие стадии: I – большой палец смещается на 10-20 градусов, больной ..."
"D725C22B-D741-2038-57C1-12ADBDF1E7FF";"Как лечить аллергические высыпания на коже";;"yyRgkK5jFac";"Лечение аллергической сыпи - Сыпи(высыпания)";"http://sblpb.ru/lechenie/197-lechenie-allergicheskoj-sypi";"Лечение аллергической сыпи Кожная сыпь – это внешнее изменение кожи, связанное с каким-то заболеванием. Сыпь может появиться на теле из-за ...";"Симптомы и лечение аллергии на коже - возникновение ее";"https://proallergiu.ru/lechenie/allergii-na-kozhe.html";"Как лечить кожную аллергию, какие препараты предлагает для этого современная медицина и сколько ...";"Кожная сыпь теле - как лечить? Причины и лечение кожной сыпи.";"https://la-kry.ru/spravochnik/syp/kozhnaya-syp-pochemu-ona-poyavlyaetsya/";"Лечение сыпи на коже при опоясывающем лишае производится при помощи ... Часто аллергия проявляется красной сыпью на коже, в том числе в ..."
"EDB18D4B-69A2-BBFA-40DF-85857963994C";"Как лечить астено-невротический синдром";;"hVPxk8XPHtA";"Астено-невротический синдром: Причины, симптомы и лечение";"http://vseostresse.ru/psihicheskie-rasstroystva/asteno-nevroticheskij-sindrom.html";"Астено-невротический синдром у детей и взрослых. Причины, симптомы заболевания, методы лечения истощенной нервной системы.";"Астено-невротический синдром: основные признаки и способы ...";"https://rodinkam.com/diagnostika/asteno-nevroticheskiy-sindrom-simptomyi-i-lechenie";"Однако любые внешние воздействия могут спровоцировать появление астено-невротического синдрома, который довольно сложно лечить.";"Астено-невротический синдром";"https://www.24farm.ru/psihiatriya/asteno_nevroticheskij_sindrom/";"В лечении данного заболевания основную ... лечения Астено- невротического синдрома:."
"E62C03A1-EF3A-502C-5FB4-D85830D0F423";"Как лечить воспаление слюнной железы";;"JlhQVTec-Rw";"Воспаление слюнной железы, виды и лечение - SKzub.ru";"https://skzub.ru/drugie-zabolevaniya/simptomy-i-lechenie-vospaleniya-slyunnoj-zhelezy.html";"10 ноя 2017 ... Причины и симптомы воспаления слюнной железы. Что вызывает развитие заболевания, формы сиалоаденита, симптоматика, ...";"Воспаление слюнных желез: симптомы и лечение";"https://myfamilydoctor.ru/vospalenie-slyunnyx-zhelez-simptomy-i-lechenie/";"Воспаление слюнных желез называется сиалоаденит. Воспаляться может любая слюнная железа. Чаще всего выявляется воспалительный процесс в ...";"Сиалоаденит - воспаление слюнной железы, симптомы и лечение";"http://stomatklinika.kiev.ua/sialoadenit";"7 фев 2017 ... Термин сиалоаденит объединяет все виды воспаления слюнных желез, которых имеется три пары (основные железы) в полости рта: ..."
