GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"A47A66D7-45B2-3498-FDCD-4AA87DBFC770";"Лечение герпеса народными средствами";;"vyesVV9MmJA";"Народные средства для лечения герпеса в домашних условиях";"http://ibeauty-health.com/narodnaja_medicina/lechenie-gerpesa-na-gubax-narodnymi-sredstvami.html";"13 авг 2016 ... Лечение герпеса можно проводить при помощи натуральных и безопасных природных средств, которые доказали простоту в ...";"10 Лучших Методов Лечения Герпеса на Губах Народными ...";"https://www.ja-zdorov.ru/blog/10-luchshix-metodov-lecheniya-gerpesa-na-gubax-narodnymi-sredstvami/";"Хорошо известны многие эффективные методы лечения герпеса народными средствами, направленные не только на уничтожение вируса герпеса и ...";"Лечение герпеса народными средствами";"http://odnatakaya.ru/kak-vyilechit/lechenie-gerpesa-narodnyimi-sredstvami.html";"Лечение герпеса народными средствами - действенно и проверено веками. Воспользуйтесь нашими рецептами, чтобы вылечить герпес."
"0B5093B7-A48B-DB5A-F6E4-03F96C8EA32F";"Домашние средства от запоров";;"6KJGJVhPdeU";"Запор. Что делать? Народные средства. Как лечить запор в ...";"https://narodnayamedicina.com/zapor-chto-delat-narodnye-sredstva/";"4 авг 2016 ... Многие задаются вопросом: как лечить запор в домашних условиях, ведь не всегда есть время и средства обращаться к специалистам.";"Слабительные народные средства при запорах быстрого ...";"http://glisty.su/slabitelnye-narodnye-sredstva-pri-zaporah-bystrogo-dejstviya/";"Запор, или длительная задержка дефекации, считается распространённой ... Народные рецепты; 3 Слабительные средства в домашних условиях.";"Лечение запора народными средствами - Likar.Info";"http://www.likar.info/proktologiya/article-60547-lechenie-zapora-narodnymi-sredstvami/";"10 сен 2014 ... Запоры вызывают дискомфорт и грозят развитием опасных осложнений. Узнайте, как наладить стул с помощью народных средств."
"E4045F7D-0C4E-35B5-A6DE-851D92343D51";"Вздутие живота: причины и профилактика";;"VMz6DkTtCVk";"Метеоризм (вздутие живота). Причины, симптомы и лечение ...";"http://medicina.dobro-est.com/meteorizm-vzdutie-zhivota-prichinyi-simptomyi-i-lechenie-meteorizma.html";"11 авг 2016 ... Причины вздутия живота и газообразования разнообразны, рассмотрим наиболее частые из них: .... Профилактика метеоризма.";"Вздутие живота: Причины, Лечение, как предотвратить Вздутие?";"https://mojdoktor.pro/vzdutie-zhivota/";"6 май 2018 ... Вздутие происходит в животе, а именно - в желудке или кишечнике. При этом вы ... Симптомы вздутия включают боль, дискомфорт и метеоризм. ... Вот лишь несколько рекомендаций по профилактике вздутий:.";"Вздутие живота - причины и признаки вздутия живота";"http://medbooking.com/illness/vzdutije-zhivota";"Профилактика. К главным профилактическим мероприятиям относят регулярное выполнение физических упражнений ..."
"8A8DB781-6F43-7EE6-5AE0-43340C7B1FA2";"Как избавиться от приливов при климаксе";;"7ZifftN1Wls";"Приливы при климаксе: что это такое, симптомы, в чем причина ...";"https://www.kp.ru/guide/prilivy-pri-klimakse.html";"18 апр 2018 ... Приливы при климаксе: причины, симптомы и средства борьбы. Как избавиться от приливов во время климакса? Можно ли бороться с ...";"Приливы при климаксе: лечение, препараты. Как облегчить ...";"https://womenfirst.ru/stati/klimaks/prilivy_pri_klimakse_chto_delat/";"Лечение приливов при климаксе всегда подразумевает комплексный подход: сочетание здорового образа жизни, сбалансированного рациона, ...";"Симптомы климакса: 9 способов справиться с приливами жара ...";"http://www.aif.ru/health/leksprav/1081662";"17 фев 2014 ... Приливы жара – один из самых неприятных симптомов климакса. ... Меню при климаксе: правила питания для женщины старше 50 лет."
"9E9ABD39-7E6C-ECE6-4B85-2DBE81D45916";"Выбираем препараты для лечения гайморита";;"9YwnwTgwqqM";"Выбираем капли от гайморита, лучшие препараты! | | e-da.su";"http://e-da.su/gajmorit/vybiraem-kapli-ot-gajmorita-luchshie-preparaty";"16 окт 2017 ... Если гайморит подтвердился, то начинайте применять народные средства лечения вместе с медицинскими препаратами. Капли ...";"Спрей от гайморита — выбираем эффективное лекарство для ...";"https://gaimoritus.ru/lekarstva-i-proceduri/sprej-ot-gajmorita-dlya-lecheniya.html";"Любой жидкий препарат для местного лечения гайморита можно превратить в спрей, используя ...";"Препараты для лечения гайморита";"http://0p3.ru/gaimorit/preparaty-dlja-lechenija-gajmorita.html";"Это препараты выбора при лечении вирусного гайморита. ... опасным и выбор эффективного лекарства от гайморита становится решающим фактором ..."
"E1BB6914-0305-7EC8-623A-E4D277B3FF01";"Домашние средства от боли в ухе";;"g6Yo50l3ryw";"Болит ухо чем лечить народные средства - Лечение народными ...";"https://krasgmu.net/publ/lechenie_narodnymi_sredstvami/bolit_ukho_chem_lechit_narodnye_sredstva/21-1-0-853";"Болит ухо симптомы и лечение домашними нетрадиционными средствами и лекарственными травами по народным рецептам. Заболевания уха если ...";"Уши, отит у детей, причины и симптомы - Методы лечения ...";"http://medic.ymka.ru/ushi.php";"Лечение народными средствами При лечении отитов в народе используют продукт пчеловодства — прополис. ... Народное средство от боли в ухе и глухоты. Часто после .... Привычка громко говорить всех моих домашних извела.";"Что делать, если болит ухо: народные средства - Новости про ...";"http://ivona.bigmir.net/health/narodnaya_medicina/390161-Chto-delat---esli-bolit-uho--narodnye-sredstva";"20 май 2014 ... У тебя болит ухо? Не хочешь лечиться с помощью "химии"? Мы расскажем простые и эффективные народные средства для ..."
"36B01748-7065-7B3F-1C80-3DDB7E682024";"Особенности лечения рака 3-ей стадии";;"uXeOEAOkMbw";"Рак головного мозга 3 стадии - Онкологический портал";"http://wincancer.ru/onkologiya/rak_golovnogo_mozga_3_stadii.html";"Важную роль в лечении рака головного мозга на 3-ей стадии играет симптоматическая терапия, направленная на улучшение качества жизни больного.";"Лечение рака яичников 3, 4 стадии - Украинский Центр ...";"https://tomocenter.com.ua/lechenie/lokalizatsii-zlokachestvennykh-opukholey/rak-yaichnikov.php";"Причины, разновидности, симптомыСтадии СимптомыДиагностика рака яичниковЛечение рака яичниковОсобенности лечения в «Украинском ... если доброкачественная опухоль локализуется в яичнике, с ее лечением или ...";"Рак матки 3 стадии: продолжительность жизни, особенности ...";"https://pro-rak.ru/organy/matka/rak-matki-3-stadii.html";"При раке матки 3 стадии требуется ... но и ее придатков, а также лимфоструктур малого таза."
"867B0FAE-CB09-9316-14C8-44C6ED7DD610";"Как провести натуральную детоксификацию";;"8bHY6wnuirw";"Мужчины с Марса, женщины с Венеры. Как думать эффективнее. ... - Результати пошуку у службі Книги Google";"https://books.google.com.ua/books?id=cf4lDwAAQBAJ";"10 мар 2017 ... Идея детоксификации и очищения не нова, более того, на рынке ... Energetics помогут наладить натуральную систему детоксификации.";"Детоксификация почек с помощью натурального сока | Polza-vred ...";"http://polza-vred.su/detoksifikaciya-pochek-s-pomoshhyu-naturalnogo-soka/";"6 дн. назад ... Для того, чтобы избежать такой ситуации необходимо регулярно проводить обязательную профилактику вышеуказанного органа.";"Программа детоксификации Apex Energetics Detox 360. – Еда ...";"http://foodasmedicine.ru/2017/03/10/%25D0%25BF%25D1%2580%25D0%25BE%25D0%25B3%25D1%2580%25D0%25B0%25D0%25BC%25D0%25BC%25D0%25B0-%25D0%25B4%25D0%25B5%25D1%2582%25D0%25BE%25D0%25BA%25D1%2581%25D0%25B8%25D1%2584%25D0%25B8%25D0%25BA%25D0%25B0%25D1%2586%25D0%25B8%25D0%25B8-apex-energetics-detox-360/";"16 май 2014 ... Как же правильно и без особого напряжения провести ... по весенней детоксификации печени и всего организма в целом (их надо ..."
"86455379-D634-52BC-CE17-4E50501BE7E6";"Как справится с похмельем";;"6gTZrP89se0";"Как справиться с похмельем: пошаговая инструкция - alko03.ru";"http://alko03.ru/opyanenie/pohmele/kak-spravitsya.html";"Как справиться с похмельем при помощи подручных средств. Почему появляется похмелье и можно ли его предотвратить? Что нужно делать для ...";"Как быстро справиться с похмельем | Алкоголь - НЕТ!";"http://alcogolnet.ru/alkogolnoe-opyanenie/kak-by-stro-spravit-sya-s-pohmel-em.html";"Как быстро справиться с похмельем, методы и препараты для борьбы с похмельным синдромом.";"Как справиться с похмельем на следующий день - wikiHow";"https://ru.wikihow.com/%25D1%2581%25D0%25BF%25D1%2580%25D0%25B0%25D0%25B2%25D0%25B8%25D1%2582%25D1%258C%25D1%2581%25D1%258F-%25D1%2581-%25D0%25BF%25D0%25BE%25D1%2585%25D0%25BC%25D0%25B5%25D0%25BB%25D1%258C%25D0%25B5%25D0%25BC-%25D0%25BD%25D0%25B0-%25D1%2581%25D0%25BB%25D0%25B5%25D0%25B4%25D1%2583%25D1%258E%25D1%2589%25D0%25B8%25D0%25B9-%25D0%25B4%25D0%25B5%25D0%25BD%25D1%258C";"Как справиться с похмельем на следующий день. Накануне была вечеринка? Теперь у вас похмелье и нужно с этим как-то бороться? Вот некоторые ..."
"16797C2D-C956-472C-D372-5CA6CA563F7A";"Неприятный запах изо рта: причины и лечение";;"l0zm8qzDQYM";"Причины и лечение неприятного запаха изо рта (галитоза ...";"http://www.stomatology.com.ua/prichiny-i-lechenie-nepriyatnogo-zapaha-izo-rta-galitoza/";"Как показали исследования, основными причинами неприятного запаха изо рта, вызванного образованием налёта на языке, являются недостаточная ...";"Неприятный запах изо рта: 5 причин, которые нужно знать";"https://med.vesti.ru/articles/pitanie-i-zozh/nepriyatnyj-zapah-izo-rta-5-prichin-kotorye-nuzhno-znat/";"28 фев 2017 ... Неприятный запах изо рта может испортить не только настроение, но и ... углеводов, также могут стать причиной неприятного запаха изо рта. Дело в ... который сможет назначить вам соответствующее лечение.";"Неприятный запах изо рта - причины и лечение - Мой семейный ...";"https://myfamilydoctor.ru/zapax-izo-rta-prichiny-i-lechenie/";"В статье мы рассмотрим причины запаха изо рта и варианты борьбы с этим. Часто неприятный запах изо рта - один из симптомов заболевания печени ..."
"C24DC2C0-EB43-8F6B-121C-825FA97CA86B";"Способы борьбы с депрессией";;"KaFiErw1L7M";"7 способов борьбы с депрессией - VitaMarg.com";"http://www.vitamarg.com/konsultacii/sostoynie/5807-7-sposobov-borby-s-depressiej";"28 сен 2015 ... В этой статье мы рассмотрим простых, доступных каждому человеку способов борьбы с депрессией на начальных стадиях.";"Способы борьбы с депрессией - Саморазвитие, успех - Жизнь на ...";"http://www.centr-crm.ru/zdorove/sposobi-borbi-s-depressiey.html";"Сегодня существует масса способов борьбы с депрессией, но только 10 из них реально помогают поднять настроение и отбросить мрачные мысли и ...";"Борьба с депрессией без антидепрессантов";"http://zdoru.ru/psihologiya/borba-s-depressiey-bez-antidepressantov";"11 авг 2013 ... Все рекомендации по правильной борьбе с депрессией в этой статье. ... в него какие-то из способов получения тактильных ощущений."
"D16771C1-4CFF-5D15-3A2F-1DCEC7CB272C";"Домашние средства от заусенцев";;"zVjcqFG3fQo";"Как избавиться от заусенцев на пальцах рук - причины и лечение ...";"http://narodnayamedicina.com/kak-izbavitsya-ot-zausencev-na-palcakh-ruk/";"26 дек 2016 ... Как избавиться от заусенцев на пальцах рук. Как лечить в домашних условиях народными средствами. Причины появления заусенцев.";"Как лечить заусеницы народными средствами | Рецепты ...";"http://www.renamedic.ru/recepty-dlya-ruk-i-nogtej/kak-izbavitsya-ot-zausenic-narodnye-sredstva.html";"Вопрос, как избавиться от заусениц, актуален для многих, ведь заусеницы – это не только не эстетично, но и неприятно. Если не будет соблюден ...";"Как избавиться от заусенцев на пальцах в домашних условиях ...";"http://onwomen.ru/kak-izbavitsya-ot-zausencev.html";"Как избавиться от заусенцев ... Как бороться с заусеницами в домашних условиях? ... Самые экзотические народные средства для лечения заусениц."
"7AC81379-F7CC-FE7C-241B-E0947702E89F";"Как помочь себе при головной боли";;"AJXvTymDCTI";"Головная боль. Ка помочь себе без лекарств? (оказание первой ...";"http://health.wild-mistress.ru/wm/health.nsf/publicall/5DA745CC50C0BED9C325786900713121";"Головная боль является симптомом многих болезненных состояний. Голова порой болит и у практически здорового человека: при переутомлении, ...";"Как избавиться от головной боли без лекарств | Passion.ru";"https://www.passion.ru/health/golovnaya-bol/kak-izbavitsya-ot-golovnoy-boli-bez-lekarstv-58760.htm";"17 сен 2012 ... При головной боли из-за перенапряжения, аллергии, спазмов или ... Кстати, душ сам по себе отлично снимает приступы головной боли, ...";"Как помочь себе при головной боли - health info";"http://healthinfo.ua/articles/novosti_zdorovia/39022";"Как помочь себе при головной боли. 7 апреля 2017 г. Головная боль – проблема довольно сложная. Каждый человек сталкивается с ней. Причины  ..."
"DB431388-2615-3D27-C8EC-A55E5DA49C32";"Как закодировать женщину от алкоголизма";;"GygMGJpmJx4";"Как закодировать женщину от алкоголизма ... - PREPBASE.ru";"https://prepbase.ru/268-kodirovanie-zhenschin-ot-alkogolizma.html";"Как закодировать женщину от алкоголизма? Методы кодирования. Последствия и результаты процедуры. Алкоголизм уже давно превратился в  ...";"Как отучить жену от пьянства в домашних условиях?";"http://alcogolizm.com/semya-i-obshhestvo/kak-otuchit-zhenu-ot-pyanstva.html";"Женский алкоголизм страшен. Но не тем, что практически не лечится. А тем, что женщину никто не лечит от алкогольной зависимости. Такую жену ...";"Как лечить женщину от алкоголя? - allWomens";"http://www.allwomens.ru/16193-kak-lechit-zhenschinu-ot-alkogolya.html";"30 сен 2012 ... Алкоголь приводит женщину к бесплодию, а при небольших дозах может привести к выкидышу или к преждевременному рождению ..."
"229BC865-6FA0-0DDA-D8C7-C0C2ED86295E";"Сколько срастаются ребра после перелома";;"ay1um7Rn88E";"Сколько времени срастается перелом ребра?";"https://properelomy.ru/perelomy/chasti-tela/skolko-vremeni-srastaetsya-perelom-rebra.html";"Сколько времени срастается перелом ребра Перелом ребер диагностируют после падения, удара в область грудной клетки, если грудь была ...";"Сколько срастаются ребра после перелома";"http://medsait.ru/vopros/skolko-srastayutsya-rebra-posle-pereloma";"Перелом ребер: симптомы, первая помощь; Как долго проходит лечение перелома ребер. Сколько срастаются ребра после перелома. Переломы ребер ...";"Осложнения и реабилитация после перелома ребер";"http://travmhelp.ru/perelomy/oslozhneniya-i-reabilitaciya-posle-pereloma-reber/";"Перелом ребра – достаточно серьезная травма, и без осложнений ... Сроки заживления и срастания ребер зависят от степени и вида травмы, как ..."
"83EBF8FE-5B73-D07C-E861-18A57396D036";"Как избавиться от неприятного запаха изо рта";;"Gzye77zU1RY";"Как избавиться от неприятного запаха изо рта раз и навсегда ...";"https://www.factroom.ru/facts/59755";"С этой проблемой сталкиваются все, но не все знают, как правильно проверить, есть ли запах изо рта — здесь вы найдёте ответы на ваши вопросы.";"Как избавиться от запаха изо рта Чистить зубы ... - Women's Health";"http://www.whrussia.ru/zdorovye/kak-izbavitsya-ot-zapaxa-izo-rta/";"";"Как избавиться от запаха изо рта - Women's Health";"https://whealth.ru/zdorovye/kak-izbavitsya-ot-zapaxa-izo-rta/";"В чем причина напасти и как от нее избавиться? ... Но спешим успокоить: чаще всего причина неприятного запаха изо рта кроется в более прозаичных  ..."
"45B7FEBA-ADBA-C4EF-39EF-8D6F237FDF4E";"Мужские проблемы";;"KiU4UwfnueU";"Мужские проблемы глазами женщин. Секс - 7я.ру";"https://www.7ya.ru/article/Muzhskie-problemy-glazami-zhenwin/";"Мужские сексуальные проблемы и пути их решения, ч.1. На протяжении почти всего века проводимые среди населения опросы показывали, что список ...";"Мужские сексуальные проблемы и пути их решения, ч.1 - Недуг.Ру";"http://www.nedug.ru/library/%25D0%25BD%25D0%25B0%25D1%2580%25D1%2583%25D1%2588%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5_%25D1%258D%25D1%2580%25D0%25B5%25D0%25BA%25D1%2586%25D0%25B8%25D0%25B8/%25D0%259C%25D1%2583%25D0%25B6%25D1%2581%25D0%25BA%25D0%25B8%25D0%25B5-%25D1%2581%25D0%25B5%25D0%25BA%25D1%2581%25D1%2583%25D0%25B0%25D0%25BB%25D1%258C%25D0%25BD%25D1%258B%25D0%25B5-%25D0%25BF%25D1%2580%25D0%25BE%25D0%25B1%25D0%25BB%25D0%25B5%25D0%25BC%25D1%258B-%25D0%25BF%25D1%2583%25D1%2582%25D0%25B8-%25D0%25B8%25D1%2585";"Пожалуй, большинство мужчин на приеме у врача боятся услышать такой диагноз, как «эректильная дисфункция». Ведь способность к репродукции ...";"Мужские проблемы: причины и методы лечения - «Московский ...";"https://xn----ctbhofdbekubgb2addy.xn--p1ai/%25D0%25BC%25D1%2583%25D0%25B6%25D1%2581%25D0%25BA%25D0%25B8%25D0%25B5-%25D0%25BF%25D1%2580%25D0%25BE%25D0%25B1%25D0%25BB%25D0%25B5%25D0%25BC%25D1%258B";"Сегодня проблема мужского здоровья стоит очень остро. Ежедневные стрессы, экологическое неблагополучие, вредные привычки, нерациональное ..."
"2C415E59-1717-9B9C-7789-2D054F29C966";"Как пробить заложенный нос";;"p9CiT_lDS78";"Как пробить нос без капель";"http://nmedic.info/story/kak-probit-nos-bez-kapel";"Заложенность носа – серьезная проблема, не дающая нормально дышать. Как пробить нос без капель, используя самые простые и доступные ...";"Как пробить заложенный нос в домашних условиях - Woman's Day";"http://www.wday.ru/krasota-zdorovie/sok/s-pomoschyu-chego-mojno-probit-zalojennyiy-nos-v-domashnih-usloviyah-i-kak-eto-sdelat/";"Какие средства используются, чтобы пробить заложенный нос в домашних условиях? Народная медицина предлагает множество методов, которые ...";"Как пробить нос в домашних условиях народными средствами";"http://lorhealth.ru/nos/lechenie/probit-zalozhennost.html";"Пробивать нос некоторым людям приходится из-за разновидности аллергического ринита — холодовой аллергии, когда нос заложен после выхода на ..."
"91715E3E-B5F6-BD67-11FD-71897FD4AD78";"Как снять аллергический отек на лице";;"G5GG_gZYP1k";"Как снять аллергический отек лица? - Про отеки";"http://pro-oteki.ru/lico/allergicheskij-otek";"Аллергический отек кожи лица может формироваться в ответ на многие ... Лицо опухает, и сильнее всего в таком случае страдают глаза, губы и нос.";"Отеки на лице при аллергии - MedAboutMe";"https://medaboutme.ru/zdorove/publikacii/stati/sovety_vracha/oteki_na_litse_pri_allergii/";"14 янв 2017 ... Отеки лица при аллергии, причины отеков, основные ... помощи, чтобы снять опасные проявления и провести обследование и ...";"Отёк лица при аллергии: причины, лечение и опасность";"https://myallergiya.ru/simptomy/otyok-lica.html";"13 дек 2013 ... Что делать если отекает лицо от аллергии? ... Лечение аллергического отека лица и его последствий ... Снять отечность и другие симптомы аллергии поможет смесь из высушенных корней одуванчика и лопуха."
