GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"5D153CB9-28FF-6A8F-91DD-431210C23028";"Что делать, когда болят пятки";;"lKH2M5N38CQ";"Почему болят пятки ног: причины и лечение";"https://nogostop.ru/stopa/pyatka/pochemu-bolyat-pyatki-nog.html";"Зачастую пятки болят у людей, которым приходится длительное время находиться ... Что делать если болит подошва стопы, пятки или пяточная кость.";"Сильно болят пятки ног, почему больно наступать по утрам - как ...";"http://www.skagite-doktor.ru/pochemu_bolit/pyatki-podoshvennii_fasciit.php";"Что является причиной сильной боли правой или левой пятки утром, а также во время движения и лечение подошвенного фасциита - что делать, ...";"Боль в пятке: как избавиться";"http://infoporn.org.ua/zdorove-i-meditsina/bol-v-pyatke-kak-izbavitsya.html";"12 сен 2016 ... Крайне неприятные боли в пятках, которые при этом такие мучительные, практически могут на продолжительное .... Ноги начинают очень болеть вечером. ... После такой процедуры можно сделать массаж пяток."
"7D3B2B77-E5B2-85B7-E339-023C5D0666F8";"Что делать, если воспалились дёсны";;"h9o0vGbjzrw";"Воспалилась десна – что делать в домашних условиях? Ищите ...";"https://expertdent.net/lechenie-desen/vospalenie-desen/vospalilas-desna-chto-delat-v-domashnih-usloviyah.html";"Узнайте все про лечение, если Воспалилась десна – что делать в домашних условиях, обзор эффективных препаратов и народных средств, фото + ...";"Воспаление десен: симптомы, причины, лечение";"https://healthy-teeth.su/vospalenie-desen-simptomy-prichiny-lechenie.html";"Когда уже пройден этап ... Ведь что делать – воспалилась десна.";"Лечение воспаления десен в домашних условиях: полоскания ...";"http://topdent.ru/articles/lechenie-vospaleniya-desen-v-domashnikh-usloviyakh.html";"Первое, что необходимо делать в домашних условиях, если воспалилась десна — приготовить отвар, обладающий противовоспалительным и ..."
"F576428A-2B8E-A9D0-5739-3AFEF51EB2AD";"Что делать, если выбит палец";;"8WCwJFDYVWo";"Что делать если выбил палец на руке: первая помощь, лечение";"http://morehealthy.ru/material/chto-delat-esli-vybil-palets-na-ruke-pervaya-pomoshch-lechenie-3602.html";"10 июн 2017 ... Нередко возникает вопрос: что делать если выбил палец на руке? В этой ситуации следует как можно быстрее обратиться к врачу, так ...";"Что делать, если выбит палец как правильно перевязывать руки ...";"https://www.kakprosto.ru/kak-85664-chto-delat-esli-vybit-palec";"Случай, когда выбит палец, называют вывихом. Это достаточно редкое явление, объясняющееся большой подвижностью пальцев рук и стабильностью ...";"Как лечить выбитый палец? - События спортивные, яркие и позитивные ...";"http://www.forum-grad.ru/forum73/thread13130.html";"21 июн 2009 ... Кто-нибудь знает как лечить выбитый палец другим способом, ... И еще, парни, уж если выбили палец, то приготовтесь к тому, что это ..."
"094E4E59-84DF-2753-E4AD-02E97892CF80";"Что делать, если першит в горле";;"Ir_LHTT7MPs";"Першит в горле. Причины. Что делать и как лечить | Блог Ирины ...";"https://irinazaytseva.ru/pershit-v-gorle.html";"31 окт 2017 ... Добрый день всем читателям блога Ирины. Что делать, когда першит в горле и возникает кашель? Этим вопросом задаются многие, ...";"Если в горле запершило… Как правильно лечиться | Здоровая ...";"http://www.aif.ru/health/life/esli_v_gorle_zapershilo_kak_pravilno_lechitsya";"26 сен 2015 ... Есть множество причин, по которым горло может першить и болеть. ... Также можно делать ингаляции – из тех же ингредиентов, что и ...";"Что делать, чтобы убрать першение в горле? Першит в горле";"http://lechenieprostudy.ru/pershit-v-gorle-chto-delat-chtoby-ubrat-pershenie-v-gorle/";"Подробная информация о том, что делать, чтобы убрать першение в горле и какие есть причины першения в горле. Узнайте что делать если першит в ..."
"BD819CCC-CFCB-CFD8-4667-847F65BCF054";"Что делать во время обострения сезонной аллергии?";;"S2VrUpRWS_Q";"Весеннее обострение: аллергию нельзя победить, но можно ...";"https://www.svoboda.org/a/392083.html";"10 май 2007 ... Миллионы землян именно весной переживают обострения поллиноза, или ... Аллергия – сезонное расстройство многих и многих.";"Сезонная аллергия, симптомы, способы лечения";"http://allergiik.ru/sezonnay.html";"Сезонная аллергия - все про сезонную аллергию, причины ... Сезонная аллергия должна лечиться как в период обострения, так и другие ... ВАЖНО ЗНАТЬ: Что нужно делать если начали чесаться глаза при сезонной аллергии?";"Как избавиться от сезонной аллергии на пыльцу? - Ivetta.ua";"https://www.ivetta.ua/kak-izbavitsya-sezonnoj-allergii-pyltsu/";"23 июн 2015 ... Эти методы помогают облегчить симптомы и сделать качество жизни .... Во время обострения сезонной аллергии, а лучше – до (а еще ..."
"A9E07687-7546-33A7-4147-AC600E5C6AF7";"Что делать, когда у ребёнка заложен нос";;"W-J76umrbWE";"Заложенность носа у ребенка - как снять заложенность и ...";"https://www.tyzine.ru/detskiy-nasmork/zalozhennost-nosa";"Родители нередко сталкиваются с проблемой затруднения носового дыхания у малышей, что связано с отеком слизистой оболочки. Заложенность ...";"Если у ребенка заложен нос | Мама кормит";"http://mamakormit.ru/esli-u-rebenka-zalozhen-nos/";"4 май 2013 ... Нужно четко знать, что делать, если у ребенка заложен нос – и Вы без особых нервов преодолеете эту неприятность. Если Вы ...";"Что делать, если у ребенка заложен нос - Здоровье ребенка ...";"http://ivona.bigmir.net/deti/health/339066-Chto-delat---esli-u-rebenka-zalozhen-nos";"10 сен 2012 ... Как облегчить состояние ребенка, у которого заложен нос."
"69F42C08-92D9-91A3-1D4D-B25DAFDB01D8";"Что делать, если разошелся шов";;"tmuPvW4LL8A";"Разошелся шов после операции и хирург сказал, что теперь ...";"https://www.galya.ru/clubs/show.php%3Fid%3D696667";"24 ноя 2012 ... Возникла проблема,разошелся шов после операци и хирург сказал что ... а вам хоть один врач сказал,что если у вас в организме не ...";"Разошелся шов - причины, лечение и последствия";"http://hirurgs.ru/content/razoshelsya-shov-prichiny-lechenie-i-posledstviya";"Соответственно этим способом рана заживает, если она инфицирована, края ее невозможно стянуть без .... Что же делать, если разошелся шов?";"Разошелся шов после операции: что делать, причины и ...";"http://medoperacii.ru/raznoe/razoshelsya-shov-posle-operacii/.html";"Что делать если разошелся шов после операции. Наложение хирургических швов. Последствия расхождения швов. Полезные советы и рекомендации."
"7E0A4688-68DE-7569-C1A6-8DC53F31AE58";"Что делать, если появилась резкая боль в поджелудочной";;"3Dbji-__AwQ";"Как болит поджелудочная, симптомы. |";"http://midleast.net/kak-bolit-podzheludochnaya-prichiny-i-simptomy-pankreatita/";"20 июл 2012 ... Если у вас болит поджелудочная железа нельзя употреблять алкоголь, ... системы, а так же что делать если болит поджелудочная железа. ... у меня температура появилась после резких опаясывающих болей в ...";"Болит поджелудочная железа. Что делать? Лечение ...";"http://pishhevarenie.com/podzheludochnaya-zheleza/bolit-podzheludochnaya-zheleza-chto-delat-lechenie-zabolevanij-podzheludochnoj-zhelezy/";"В этом случае знание, что делать, если болит поджелудочная железа, .... Поэтому очень часто при данном заболевании отмечается резкое похудание.";"Чем снять боль в поджелудочной железе: как обезболить и ...";"http://podjeludochnaya.ru/lechenie/snyat-bol";"Если болит поджелудочная железа, у человека возникает острая боль, которая носит .... Помните о том, что если у вас появились боли в поджелудочной железе и вы еще не ... Но и это необходимо делать совместно с врачом."
"DD4734F5-0EF2-E5E1-FFF8-CBE0D98E72C0";"Что делать, если продуло ухо";;"r8QM89_6IT8";"Продуло ухо: симптомы, что делать, как и чем лечить";"http://uhonos.ru/uho/simptomy-uha/produlo-uxo/";"После переохлаждения, когда «продуло ухо», общее самочувствие пациента ухудшается, нередки повышение температуры, стреляющая боль. Лучшим ...";"Если продуло ухо: что делать и как лечить | Советы медика";"http://sovetymedica.ru/esli-produlo-uho-chto-delat-i-kak-lechit.html";"17 янв 2015 ... Как быть если продуло ухо? Оглавление: Продуло ухо симптомы; Что делать если продуло ухо. Помогут лекарственные средства; Чем ...";"Продуло ухо: чем лечить в домашних условиях, лекарства, капли";"http://prolor.ru/u/lechenie-u/produlo-uxo-chem-lechit-v-domashnix-usloviyax.html";"13 фев 2017 ... Но что делать, когда ухо продуло, а терпеть боль уже больше нет сил? На помощь придут проверенные препараты и средства ..."
"4036F855-3A90-EAFE-96B4-054F5025FE44";"Что делать, если постоянно закладывает нос";;"Q4EWN9Q0xF8";"Постоянно заложен нос: причины, лечение - Стоп ринит.ру";"http://stoprinit.ru/zabolevaniya/rinit/chto-delat-kogda-postoyanno-zalozhen-nos.html";"Что делать, когда постоянно заложен нос? Заложенность ... Каждого больного волнует вопрос, почему без насморка закладывает нос, и это логично.";"Постоянно заложен нос: что делать?";"https://mixfacts.ru/articles/%25D0%25BF%25D0%25BE%25D1%2581%25D1%2582%25D0%25BE%25D1%258F%25D0%25BD%25D0%25BD%25D0%25BE-%25D0%25B7%25D0%25B0%25D0%25BB%25D0%25BE%25D0%25B6%25D0%25B5%25D0%25BD-%25D0%25BD%25D0%25BE%25D1%2581-%25D1%2587%25D1%2582%25D0%25BE-%25D0%25B4%25D0%25B5%25D0%25BB%25D0%25B0%25D1%2582%25D1%258C";"Человек не может нормально жить, работать, общаться, если у него постоянно заложен нос, что делать с этой проблемой – может подсказать врач.";"Закладывает нос постоянно: что делать если заложен нос";"http://stopgripp.ru/bolezn/rheum/zalozhen-postoyanno-nos.html";"Постоянно заложен нос: что делать и почему закладывает нос у взрослых ... Если часто закладывает нос и человек при этом не высмаркивается, ..."
"630FCF47-8B77-C5EB-A9BF-859FDC6301AB";"Что делать, если немеют руки";;"Juu-mVNmai8";"Что делать если немеют руки, ноги? — Здоров-Инфо";"http://zdorov-info.com.ua/stati/lechenie/10655-nemejut-nogi-ruki-chto-delat.html";"Немеют ноги, руки! Что делать? 15.05.2013 09:39 | 90147. Онемение Сумасшедший ритм жизни современного человека, который участвует в ...";"Причины онемения рук - Так Просто!";"https://takprosto.cc/prichiny-onemeniya-ruk/";"Почему немеют руки: 7 причин, заставляющих задуматься о здоровье. ... Начни следить за своей осанкой, а также делать специальную гимнастику.";"Почему немеют руки | Здоровая жизнь | Здоровье | АиФ Украина";"http://www.aif.ua/health/life/1362692";"17 окт 2014 ... Тем, у кого немеют руки, надо пройти обследование и выяснить, ... поднимать кисти рук вверх, делать небольшую зарядку – махать и ..."
"8624DB3B-0274-43F5-61A3-CA6B5E8D7BE2";"Что делать, если укусил кот";;"JmpVoyNrWW0";"Укусил кот, опухла рука, покраснела - что делать, если это ...";"http://zootvet.ru/ukusil-kot-opuhla-ruka/";"Нередко в момент игр с домашним любимцем владелец заигрывается с котом. Результатом могут стать укусы и царапины. Если укусил кот, рука опухла ...";"Укусил кот, опухла рука - что делать и чем лечить?";"https://koshkamurka.ru/6028-kak-snyat-opuhol-ruki-posle-ukusa-koshki.html";"Если покус нанесла неизвестная кошка или домашняя, но не привитая от бешенства, то помощь врача ...";"SOS укусил кот - домашний кот укусил хозяина - Конференции 7я.ру";"https://conf.7ya.ru/fulltext-thread.aspx%3Fcnf%3DAnimal%26trd%3D1442";"14 апр 2018 ... Если бы он так укусил ребенка, то я бы точно его в окно выбросила. ... вот описано что и как делать [ссылка-1] 28.09.2016 12:11:43, Artem 35 ..."
"E2BF8000-350D-7510-A21F-D5A46D6E9BA8";"Что делать при проблемах с пищеварением, вызванных застоем желчи";;"M9AZMLOD5Rg";"Застой желчи: симптомы, лечение, диета и упражнения - Гепатолог";"http://gepatolog.com/gallbladder/zastoj-zhelchi/";"6.1 Застой желчи при беременности; 6.2 Застой у детей. 7 Где болит? ... А это – залог хорошего пищеварения и самочувствия. Нарушение выделения ...";"Застой желчи: лечение - Likar.info";"http://www.likar.info/bolezni-zheludka-i-pishchevareniya/article-70050-zastoj-zhelchi-lechenie/";"27 апр 2015 ... Главная Болезни желудка и пищеварения Застой желчи: лечение ... Внутрипеченочный холестаз возникает при поражении клеток ... делать, оперироваться?наш местный гастроентеролог говорит что у нее есть какой то свой метод роздробления камней. ... Желчный пузырь и его проблемы.";"Гастроэнтеролог Галина Синишина: «Язва часто появляется у ...";"http://fakty.ua/179986-gastroenterolog-galina-sinishina-yazva-chasto-poyavlyaetsya-u-teh-kto-mnogo-nervnichaet-stress-povyshaet-kislotnost-zheludochnogo-soka-i-vyzyvaet-razdrazhenie-slizistoj";"12 апр 2014 ... Почему болезни органов пищеварения активизируются в ... Что делать, если возникла боль в правом подреберье? На эти и ... вызванная приемом нестероидных противовоспалительных ... Полип — это разрастание слизистой желчного пузыря, которое часто возникает при застое желчи и ..."
"13F5C027-1CF2-0392-1B62-98015B4857A2";"Что делать, если потянул спину";;"B6ieHQQXy2s";"Что делать, если потянул мышцу спины? - Ваша Спина";"https://vashaspina.ru/chto-delat-esli-potyanul-myshcu-spiny/";"Растяжение мышц спины, человек описывает как потянул мышцу спины. Это - крайне неприятный диагноз, с ним сталкивался практически каждый ...";"Сорвал спину, что делать, как лечить растяжение спинных мышц";"https://pozvonochnik.guru/boli-v-spine/sorval-spinu-chto-delat.html";"Признаки. Что делать, если человек потянул спину, с чего начать? Растяжение мышц спины может быть опасно. Для начала целесообразно попытаться ...";"Что делать если вы потянули спину - medikya.su";"http://medikya.su/rastyazheniya/chto-delat-esli-vy-potyanuli-spinu.html";"21 дек 2013 ... Каждый человек как минимум раз испытывал, что такое растяжение мышц спины. И это далеко не самое приятное ощущение."
"AEB492CF-F4A9-0B93-1E7A-E0EE02EF0D21";"Что делать, если чешутся уши";;"sesLb5J0yPM";"Почему чешутся уши внутри возможные причины - ЛорСовет";"https://lorsovet.ru/uho/simptomy-uho/kakovy-prichiny-togo-chto-cheshutsya-ushi-vnutri.html";"ЛОР направляет к аллергологу, если подозревает наличие симптомов, характерных для ...";"Почему чешутся уши: заболевания и приметы - ProPochemu.ru";"https://propochemu.ru/171";"В народе говорят, если горят и чешутся уши – о вас кто-то вспоминает нехорошим ..... Первое, что необходимо сделать для устранения ушного зуда ...";"Чешутся уши. Зуд в ушах. Что делать? - MEDIMARI";"https://aniramia.ru/chehutsy-uhi-zud-v-uhax/";"9 июл 2013 ... Приветствую вас дорогие читатели сайта «Медимари»! Тема сегодняшней статьи «Что делать, если чешутся уши?». Чешутся уши."
"F739E48C-28B2-E773-D2E2-8129FF2E921D";"Что делать, если опухла десна";;"pqIyQV-So-I";"Опухла десна возле зуба - что делать, где лечит? - МистоДент";"https://misto-dental.com.ua/opuhla-desna/";"Если опухла десна над зубом, вполне возможно, что это свидетельствует о росте зубов. Актуальна такая причина как для детей, так и для взрослых при  ...";"Опухла десна - что делать и чем правильно полоскать";"https://expertdent.net/lechenie-desen/opuhla-desna.html";"Что делать если опухла десна. Info. Shopping. Tap to unmute. If playback doesn't ...";"Опухла десна, что делать? - СтомПорт";"https://stomport.ru/stati/opuhla-desna-chto-delat";"Если у вас опухла десна у зуба мудрости, необходимо сделать рентгеновский снимок, чтобы убедиться, что зуб прорезывается в правильном ..."
"5E9BC116-B27B-FCE3-1D48-872D60BE60FD";"Что делать, если воспалились лимфоузлы";;"qJ0DujghlOo";"Воспалился лимфоузел на шее: причины. Что делать (+отзывы)";"http://onwomen.ru/vospalilsya-limfouzel-na-shee.html";"Если лимфоузлы сильно ... гелями, эфирными маслами или делать массаж ...";"Что делать, если воспалился лимфоузел под мышкой? - Estet ...";"https://estet-portal.com/statyi/chto-delat-esli-vospalilsya-limfouzel-pod-myshkoj";"Если воспалился лимфоузел под мышкой – это тревожный симптом очень серьезных заболеваний. Мало просто его устранить, нужно найти причину, ...";"Как лечить лимфоузлы, чем быстро вылечить в домашних ...";"http://izbavsa.ru/zdorove/kak-vylechit-limfouzly";"Как лечить лимфоузлы в домашних условиях. ... наличие раковых клеток в лимфатических узлах, необходимо посетить доктора и сделать анализы. ... Если воспалился лимфоузел под челюстью, первое, что необходимо сделать , ..."
"4A108E5B-A7D9-B25C-988E-1EFF5924F261";"Что делать, если температура выше 38 градусов";;"Hdp2qDNtwWY";"Что делать если температура 38.5 - 39 не спадает у взрослого ...";"https://pneumoniae.net/ne-spadaet-temperatura-38-39-u-vzroslogo/";"Не спадает температура 38-39 у взрослого причины и что делать ... при котором температура тела повышается выше нормальных пределов. .... Сопровождаются незначительным субфеблитетом (не более 38.5 градусов).";"38 и выше... Что делать, если у новорожденного жар? Высокая ...";"https://www.7ya.ru/article/38-i-vyshe-Chto-delat-esli-u-novorozhdennogo-zhar/";"Первая помощь новорожденному при высокой температуре. ... могут искажать показатели температуры на несколько десятых долей градуса. ..... Если есть температура выше 38 дольше 3-х дней, то антибиотик назначать надо.";"Как сбить температуру - 10 способов — Доктор Екатерина ...";"https://nawideti.info/zdorove-rebenka/10-sposobov-snizit-temperaturu.html";"В случае если у человека жар 40°С и выше и ежели вы видите, что она его беспокоит ... больной кишечный тракт (колит), то гораздо лучше делать очистительную клизму так, ..... Особенно опасно температура, выше 38 градусов."
"CAEA5233-1309-ED8E-6B0D-6DCE667D388F";"Как делать уколы внутривенно";;"SNO-Dt5vL8w";"Как сделать инъекцию в вену - wikiHow";"https://ru.wikihow.com/%25D1%2581%25D0%25B4%25D0%25B5%25D0%25BB%25D0%25B0%25D1%2582%25D1%258C-%25D0%25B8%25D0%25BD%25D1%258A%25D0%25B5%25D0%25BA%25D1%2586%25D0%25B8%25D1%258E-%25D0%25B2-%25D0%25B2%25D0%25B5%25D0%25BD%25D1%2583";"Человек, которому будут делать инъекцию, должен выпить стакан воды (250 .... Опасно вводить лекарственный препарат, предназначенный для внутривенного введения, в другую часть тела, так как ... сделать укол витамина B12.";"Внутривенные инъекции. Укол в вену";"https://www.med39.ru/inject/vnutrivennie-inekcii.html";"В этой статье вы найдете подробное описание как правильно сделать укол в вену в домашних условиях.";"Внутривенный укол, как сделать правильно, инструкция";"http://serdcemed.ru/kak-delat-ukol-vnutrivenno.html";"Внутривенный укол всегда делать гораздо сложнее, чем все остальные виды инъекций. В связи с этим доверить процедуру лучше специалистам: ..."
"4FAB9CB3-3DA1-F42C-FDDA-BAB26E3CDBD8";"Как делать массаж предстательной железы";;"o0fnKtxuuoY";"МАССАЖ ПРОСТАТЫ - польза, показания, устройства и техника";"https://oprostatit.ru/massazh/massazh-prostaty.html";"Массаж простаты является достаточно серьезной процедурой, которая требует ...";"Массаж простаты — как правильно делать, чтобы нравилось ...";"https://kamatab.ru/kblog/massazh-prostatyi/";"Массаж простаты у мужчин — как проводить. Что собой представляет процедура, и когда она необходима мужчинам. Показания и противопоказания.";"Как самому сделать массаж простаты в домашних условиях?";"https://potencija.com.ua/blog/kak-samomu-sdelat-massazh-prostaty/";"Можно ли делать массаж простаты самому? Во-первых, изначально самостоятельно делать массаж простаты себе не следует. Это должен делать ..."
