GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
A00CB371-3945-EA5F-2393-8AC5A6456E27;Как вывести паразитов;cebE8acyUNI;;;;;;;;;
7C592181-03F7-6C46-9869-4F7C48698BDB;Как укрепить десны;Eb-U9qAOatQ;;;;;;;;;
B1A4171B-74D2-4873-9AA6-8B8F2C5BADEF;Как очистить организм от токсинов;9Gt8XPP26Aw;;;;;;;;;
ABE69755-1F58-43F6-CCEF-4E7D9B77F283;Как избавиться от низкого давления;3aL-zerkiac;;;;;;;;;
F66B6EE4-E038-FB92-5850-6A2FCECC0002;Как вводить магнезию;;;;;;;;;;
5B06FD20-2FC6-5A69-052F-7DDA54B5F4A4;Как защитить почки;;;;;;;;;;
BF78AAC1-AB05-E564-8104-6D771F39F9DE;Как заниматься гимнастикой для позвоночника;;;;;;;;;;
9E296F28-ED3E-1161-3624-9136C147170E;Как восстановить подвижность суставов в 2018 году;v9M_uUMKZZY;;;;;;;;;
D7A3E3A3-F9F1-74AA-DFDB-585EF59D0549;Как отучиться храпеть;;;;;;;;;;
16751B08-A157-BE3D-AD11-CF210F5006CE;Какие витамины нужны для роста волос;w2Bb_q9RDpk;;;;;;;;;
1B015A28-7E87-1036-95A4-08675DBE6B6E;Какой гормон назначают после внематочной беременности;a-W0OE07asw;;;;;;;;;
432AC8F9-8E4A-B05C-BBF2-9B891BB22E18;Как восстановить ритм сердца;;;;;;;;;;
B0AF90BB-3697-4F2F-2931-95A48C5FDE1E;Как увеличить уровень эстрогена;6QIFW7kL1qg;;;;;;;;;
E35A098F-32B1-7B16-278C-1D541CAF704D;Как снять высокое давление быстро;O3ofPjsZ_EI;;;;;;;;;
72361F65-7DFE-6F5C-A11A-5F70B7A30685;Как избавиться от воспаления десен;;;;;;;;;;
28425621-A99B-18EF-3906-2227D9518586;Как остановить лимфу;IZaVZjTTLIc;;;;;;;;;
48ADD3A0-2BF6-F914-2C15-0FCB52BAE0B4;Как почистить почки;;;;;;;;;;
A4ADFCEF-DC5B-2805-67C2-6C5FAAC26CBA;Как укрепить шейку матки;Z5HIUXZuCdE;;;;;;;;;
8EA32330-0077-135B-D32C-52595959C6A2;Как лечат вторичную аменорею;;;;;;;;;;
1FDE8975-2A85-2087-BB82-14B4B396229C;Как быть, если болит зуб под коронкой;KU-H9RbHric;;;;;;;;;
37829A27-87A5-043E-130D-BD43B225E8CB;Как лечат экзостоз;;;;;;;;;;
BC5FC4CE-037E-0E28-5B5B-0E98C86B61EF;Как лечат грыжу белой линии;;;;;;;;;;
5F90339B-0D11-3F11-36D2-166A036D556B;Как избавиться от заедов на губах;F6P218MAlXI;;;;;;;;;
4A8798B5-92C3-DCB5-5214-143F3A421727;Как успокоить пульс;;;;;;;;;;
19B09A92-2A62-2432-9889-6681B1729373;Как остановить диабет;;;;;;;;;;
849F58BD-DC17-8F5A-D573-AE0FD658876C;Как избавиться от панариция;;;;;;;;;;
940729EF-1B7F-D2E9-489B-04E9816788C7;Как лечат гормональный дисбаланс;;;;;;;;;;
3B44B7FF-27FB-4110-48B7-C675D7349D53;Как пить льняное семя;KCrbI45HcqY;;;;;;;;;
2D9EA5EC-E2E4-A63C-E8FF-3A97DE49E363;Как вылечить грибок на коже рук;apMo-8G7pkM;;;;;;;;;
11953E6D-C4E2-DBF1-D0A0-125741D1D213;Как вывести камни из печени;;;;;;;;;;
F641F9A8-2032-1544-23F4-22BA5DF0B456;Как отрезвить в домашних условиях;YEghCoxADNk;;;;;;;;;
110E0920-50A8-D0F2-9F09-28A971F0FC02;Как поднять кровяное давление;;;;;;;;;;
4323278F-584D-0BBD-8C60-A546A0129A32;Как избавиться от боли в стопах;cJE9ADse0o8;;;;;;;;;
952A9BED-A1AE-CE1A-C645-073F44CA9F75;Как предотвратить астму;VRdkfn9AP34;;;;;;;;;
70C2404A-DB86-7446-D78E-159F93E6229C;Как избавиться от обильного потоотделения;;;;;;;;;;
D82B1046-1A36-9086-C454-2C11B4A86C5B;Как убрать першение в горле;;;;;;;;;;
B1A76712-2089-0E13-2346-2813EED82892;Как избавиться от растяжений;i3WWYcdjFJg;;;;;;;;;
12C04701-E6CC-EF64-45A6-05BDBFB80005;Как убрать пробки с миндалин;PEKTQryabYk;;;;;;;;;
90D1BFE8-409D-1E47-0694-773BEFCFDFA3;Как оказать первую помощь при ушибах;;;;;;;;;;
B6D1DA05-0984-89CD-1E63-56C449D37CA5;Как избавиться от температуры беременной;;;;;;;;;;
BD0F141A-10BB-28BA-2D65-12BCFFBE2C18;Как снять повязку с раны;NXhT5VpKxSE;;;;;;;;;
19643FA9-C1F6-3F85-2840-42EC477B6A44;Как избавиться от металлического привкуса во рту;;;;;;;;;;
D9FD41AB-ED96-8316-8686-4DC152CF9DAB;Как избавиться от температуры и кашля;NgU5cA9S9hU;;;;;;;;;
E13ADE3E-3C40-82B3-1248-FAB1E8A11B0E;Как удалить шипицу;;;;;;;;;;
D490253C-2634-4E85-2159-5A5AE9B10C1F;Как избавиться от сильной зубной боли;mDKE4HKJm0o;;;;;;;;;
377FDBB7-2629-F2A0-1611-D87EFBDD7712;Как избавиться от шейного хондроза;;;;;;;;;;
15C8EB74-C0FC-F37B-1D94-012BA244C28F;Как снять зубную боль беременным;;;;;;;;;;
886E9218-111B-53A1-67E3-3E7AFA69DA35;Как вернуть деньги, потраченные на лечение;;;;;;;;;;
1E3C6070-62FC-7ACD-67F1-EE8D61497132;Как проходит лечение гемофилии;tF4XOxifG0w;;;;;;;;;
08020A56-F008-2E87-64FB-4F8D5AEA0118;Как снять боль в висках;;;;;;;;;;
12BE0520-47DD-7010-CE06-98602FA12928;Как снять температуру у ребенка до года;;;;;;;;;;
F807CB5B-46B1-DE05-1888-544FCDE1C3B2;Как поддержать имунитет;;;;;;;;;;
DEE160B4-A4B4-768C-2BA2-6AE0BF5EFB82;Как приготовить хвойный экстракт;wObrlz3Q5v0;;;;;;;;;
44EF27EC-0EC5-FB16-D190-888BBD43A8FC;Как оказать первую помощь обмороженному;;;;;;;;;;
C05F1CBF-186C-BDF9-CF3B-853CB297F44B;Как очистить легкие от никотина и смол;bKQsYXp3tUY;;;;;;;;;
DF332503-0BD5-4E76-094A-1315D26F4111;Как избавиться от кондилом;;;;;;;;;;
6CEB2944-9780-5F7F-37E0-E87A595043F0;Как вывести папилломы в домашних условиях;RNhQkaOUC0Y;;;;;;;;;
0E1B2D84-D5E2-E164-AA56-A2FD4D6FE4A5;Как избавиться от боли при мочеиспускании;Qc3jNREgEfg;;;;;;;;;
66FEDD26-3E9B-88A6-3E0C-CA6177D4AB5A;Как правильно наматывать бинты;;;;;;;;;;
0AA59CD8-15B9-312E-AF47-D67596DA4256;Как избавиться от температуры при беременности;kie5CCisPVE;;;;;;;;;
B494C1B1-C907-A1A3-9D7A-55D6CC1851A5;Как принимать капли Морозова;AYD1U6KRbIw;;;;;;;;;
98CB8EAC-DE9F-BA92-05BE-0ED27C70FB77;Как добиться регулярного стула;ILLcsb0SKzY;;;;;;;;;
4293341F-5986-AE74-C9E3-0C05871AC5A8;Как избавиться от жжения в носу;guTW9MkMlFM;;;;;;;;;
5C0BD20E-B735-D86C-9A7C-A80A04558ECC;Как избавиться от сухости глаз;;;;;;;;;;
C0AFF2A3-8C0B-B64F-459B-FBC771ACEF89;Как быстро избавиться от перхоти;;;;;;;;;;
9B070E1D-8736-07AA-AA2B-44FBC88AC4F7;Как вывести плоские бородавки;aUAUP3x4XXA;;;;;;;;;
D3306EDD-A31F-2893-D688-B8FDE217591C;Как лечат функциональную кисту;;;;;;;;;;
B53CDC86-E5EF-2692-EB17-37A4A5A1C219;Как восстановить поджелудочную;TD9hzrMnCSI;;;;;;;;;
DE29A262-3488-9F3E-F6A8-7788857B2B9F;Как в домашних условиях очистить печень;;;;;;;;;;
159F7B93-02D6-4EC6-9B20-EF851DCDE23C;Как лечат эндометриоз;Tw1yQwnrhqY;;;;;;;;;
AB2AB814-489A-4035-82E5-3DBEDC4BD10B;Как облегчить боли в пояснице;;;;;;;;;;
A4D4E109-2A7C-4346-30B4-3FBCC0A61D2C;Как избавиться от металлического запаха;;;;;;;;;;
647B4ABC-F7C9-249A-4DCB-2E773EECC34A;Как восстановить вестибулярный аппарат;CcSgpQodubw;;;;;;;;;
8E926D30-A7B9-B45F-6A0C-0DE45E455E31;Как уменьшить содержание сахара в крови;VJj66aVbGIs;;;;;;;;;
D402C67B-68DC-B238-88D0-3AD6904CEDAD;Как восстановить слизистую носоглотки;LFXT895u5P0;;;;;;;;;
67D454FD-3B5D-48C8-EC00-AE5F53C36772;Как вывести перхоть в 2018 году;qgkrabz7phQ;;;;;;;;;
83C33489-9EA5-11B7-4E0C-2844CE9076E4;Как избавиться от дистрофии;0vDyxqAyW1I;;;;;;;;;
74256E7D-AB88-1A02-7789-F145B0420946;Как восстановить микрофлору после антибиотиков;;;;;;;;;;
0ABE0C63-6C11-F98F-E044-E414FCF0562F;Как очистить кровь от холестерина;;;;;;;;;;
179B3430-7425-09B1-6CCE-1400729F9AE1;Как избавиться от острой зубной боли;;;;;;;;;;
ABDE614E-1E9B-9F9D-A01B-9CF31DA5DCDF;Как избавиться от сильной потливости подмышек;;;;;;;;;;
63802436-2902-D251-76AA-DF2A0BC13E40;Как быстро снять зубную боль;;;;;;;;;;
5FF37095-4A7C-A002-B74C-7648CE8F21D8;Как очистить лёгкие от дыма;52CTsbr2fNQ;;;;;;;;;
54C79D1E-28CC-4B92-B3A0-EE5A935AD247;Как быстро вылечить ячмень;;;;;;;;;;
8E69B783-0C93-81B9-3AF7-3C8628B94EF9;Как вылечить пальцы рук от грибка;Fj_tnmiHgtQ;;;;;;;;;
F4B34E30-F55E-5ACB-51D9-8453F27570AA;Как обезопасить себя от простуды;;;;;;;;;;
DE038705-2808-3118-BA28-202B003F2D35;Как быстро вывести алкоголь;;;;;;;;;;
7124FFDC-490D-127F-C670-49F0DFB684EC;Как избавиться от аллергии на сладкое;tcWHY3d0p_A;;;;;;;;;
174D4EA6-1785-1AC7-40A9-3B41C624D6D1;Как избежать пролежней;;;;;;;;;;
AAE0FFA5-0350-C38C-E175-727056021F53;Как быстро снять боль;t2VfojcIc58;;;;;;;;;
ECEF7697-3631-C1E2-1FEF-A8783E8809EC;Как восполнять витамины весной;pBzFm9ePZSc;;;;;;;;;
D81354E3-F941-8FA4-6C0E-FBDE35A63C1E;Как избавиться от перхоти народным методом;BsBZIjPaUi4;;;;;;;;;
BEA4ECAE-DECB-65B0-A084-723225CBC9CB;Как избавиться от прыща на языке;;;;;;;;;;
F94773AB-631B-850E-2F9A-9E00445EE92B;Как вывести чесоточных клещей;n3OXC2lBnrA;;;;;;;;;
8C7376E7-DF80-2DAA-67AA-8210DA43DD57;Как определить глазное давление;;;;;;;;;;
1B6B9D29-3B8C-ED4E-CD51-C0B653AB0AEF;Как выгнать шлаки;7oAhD0NBQkc;;;;;;;;;
030DDB12-9DFB-06C2-95EF-3E09EF973F60;Как вывести аскарид;;;;;;;;;;
837BBCC0-115E-4D98-3226-120CF0AF37DE;Как избавить человека от пьянства;;;;;;;;;;
14127CA4-A356-ACFC-7BD5-CB9D9E069E10;Как вывести химию из организма;;;;;;;;;;
22941674-3B57-A51E-7BCB-7D4B46FE87C7;Как поднять опущенную почку;;;;;;;;;;
109400E0-6A46-9173-C0DD-4C597CDB4586;Как вернуть севший голос;jRa5WymhNjY;;;;;;;;;
227D4997-F61C-B4E3-2BA6-BA528D1B38F0;Как обследовать тонкий кишечник;;;;;;;;;;
861272CF-2784-660C-2C17-58F0ADC82F2F;Как избежать белой горячки;;;;;;;;;;
246CBF83-E9B4-6602-5A14-D61674EA0FC8;Как быстро снять опухоль;2YTWxiNpziQ;;;;;;;;;
BA87A5D9-1895-FB04-F4FF-1C44750EAD26;Как быстро убрать герпес;D39wxS2Nk3o;;;;;;;;;
5BA5C38A-ED39-0A3A-53F4-E74D480689AC;Как быстро вывести никотин из организма;;;;;;;;;;
880B047D-E0CA-8F9A-00BD-74755F3B28AB;Как выбрать хирурга;;;;;;;;;;
88A70D72-A6F0-260C-E456-460C5A6744B2;Как быстро избавиться от ячменя на глазу;;;;;;;;;;
8A8DF06E-D522-7C72-E983-51FE47EEA9C5;Как не заразиться простудой;bWS1d7NaM_w;;;;;;;;;
02D850EE-0816-86AC-8337-0EFDA73CB57F;Как быстро повысить гемоглобин в крови;a5KJQio-xMs;;;;;;;;;
223030E3-617E-BDFE-6669-C08584A230AC;Как восстановить эндокринную систему;5QLg8OO3E_s;;;;;;;;;
1D69C946-9D22-0BAF-E454-9E07ACD532DD;Как избавиться от искривления позвоночника;;;;;;;;;;
E71A6937-C90F-3B24-737D-97C717DA1D1F;Как быстро убрать простуду на губах;h6INs2e6oKk;;;;;;;;;
C7F40557-07AD-8C3F-DB8E-A9D57CFE9838;Как вывести из комы;;;;;;;;;;
84B2DC89-0164-0CB8-D0FB-4DD81A09FF45;Как быстро убрать шишку;;;;;;;;;;
92518C3B-5924-BE55-720E-BF7B78606BD5;Как бросить пить;8abhmnNh-z0;;;;;;;;;
A4AB5521-A5CE-0384-4AEB-F5F6FE72BE9F;Как быстро сбить температуру взрослому;;;;;;;;;;
421369DF-9FA5-AFE5-3CB7-65E1EE04AA33;Как восстановить месячный цикл;mRVR3cURczo;;;;;;;;;
07658CB7-F7CF-442D-7194-BE4E0F811024;Как быстро убрать гематому;Nk6uq9-I8tc;;;;;;;;;
63395E07-07EB-E63D-82F3-BCEFB2DBB738;Как восполнить эстроген;;;;;;;;;;
3F80C9E2-760F-1B61-25A6-FBA7415B7481;Как взрослому человеку не просыпаться ночью в 2018 году;;;;;;;;;;
128CCF9A-BA40-6794-73C2-C6095FFFBE8B;Как быстро снять воспаление на лице;Jcwxr9sA6Ic;;;;;;;;;
D83DB95C-19BE-4406-0B2A-22C3DFD0F29C;Как предупредить весенний авитаминоз;;;;;;;;;;
16BB0F20-1558-EE8E-9938-CCE3A7F94812;Как быстро убрать простуду;myPiKq6DVbg;;;;;;;;;
27D6AFD1-CA30-6707-3881-BEC76974FAD5;Как вернуть обоняние при насморке;KtQ621QwP6s;;;;;;;;;
D17754C1-FAD0-11FC-25C2-E6475764AC78;Как быстрее выздороветь;;;;;;;;;;
72A117D0-27E2-FF37-9262-A78089CC5454;Как быстро снять кашель;;;;;;;;;;
43298A14-E3EE-A25F-0A1F-E293CBCD53F6;Как быстро снять аллергию;;;;;;;;;;
BFFE0352-4D91-7E41-7459-8F91F489F23A;Как быстро убрать воспаление;;;;;;;;;;
143C07CA-CDDD-5C04-D067-2E459720D315;Как восстановить обоняние;;;;;;;;;;
8D7F2ADA-A1E7-C088-93C7-FE210E55FA59;Как быстро вывести алкоголь из крови;VtErL1ODNSs;;;;;;;;;
ACF23A67-9EAC-A5C4-8AC7-056B43A1F1E8;Как быстро снять стресс;SGbGa5V6pLE;;;;;;;;;
A907C3DC-E5B7-C215-DCF1-DCB1F4E18A36;Как восстановиться после травмы;;;;;;;;;;
A29353FE-8EA6-5EAD-47A4-ECA213ABCCF8;Как вывести аллергены;;;;;;;;;;
22B263F4-E6DB-A49A-7AE4-FEB5651B4953;Как восстановить глотательный рефлекс;;;;;;;;;;
021399E5-B537-ED8A-22CD-4344C00F2491;Как снизить сахар в крови;VJj66aVbGIs;;;;;;;;;
6B78C40D-F54B-9A1E-A202-92CFD131DF48;Как избавиться от белых точек на лице;jw_on5yRWR0;;;;;;;;;
4EA41646-0332-CFE9-8CD2-DEE3845A3C98;Куда ставить горчичники при кашле;tnqVIJOvN-U;;;;;;;;;
EA32D30E-0B21-FDC8-411C-1FDEB67940CB;Как восстановить речь;v27KTbM0kJ8;;;;;;;;;
3EE602C2-44DC-D281-3154-1D4DD4A6EA23;Как быть с больным старческим маразмом;jocBfWzXo_E;;;;;;;;;
48FE6F7E-7E0C-5A38-5359-5A1F03CFDF60;Как можно заболеть циститом;;;;;;;;;;
AF963850-B69B-961D-7E67-EED808E7AA57;Как можно восстановить слух;ex7aNbD0q1o;;;;;;;;;
A8AA389E-B1F3-C8F4-4B3E-D1519617BD12;Как оказать помощь при шоке;;;;;;;;;;
8542EDCD-E6F7-2C17-59D2-1750132CB84F;Как быстро снизить температуру в 2018 году;;;;;;;;;;
3E406FBB-0512-F43B-C3CB-B78AA5EB91EA;Как избавиться от сыпи на руках;;;;;;;;;;
08909715-8FEF-214E-9028-8C4F789895DB;Как избавиться от депрессии самостоятельно;#NAME?;;;;;;;;;
9023EDD8-5B5A-1272-ABC0-D3E3809BF78F;Как массировать живот;;;;;;;;;;
6D13366C-C9B7-69E9-4E49-0F38E879D622;Как не простудить горло в 2018 году;u9PCakpSgsw;;;;;;;;;
415A7D88-5C86-0382-380A-FD5400DC3F61;Как лучше удалять зуб мудрости;;;;;;;;;;
3ACCC348-B3D6-851F-18B4-E439C2473969;Как избавиться от аллергического кашля;;;;;;;;;;
65921193-DF23-9029-08F1-EEFE283C05D8;Как навсегда избавиться от изжоги;3wedSESUZC4;;;;;;;;;
40241D8C-6CFC-04F9-7C42-2ACEC9EC0278;Как избавиться от запаха лука во рту;;;;;;;;;;
C807CD83-EDD1-B003-F3C8-DD75E48741EA;Как лучше всего поднять гемоглобин;;;;;;;;;;
015B645A-1641-29A6-7D99-F30F17375A83;Как найти хорошего врача в Москве;;;;;;;;;;
A457CBB1-2228-9012-B975-6EF117B3DC1E;Как обрабатывать пролежни;;;;;;;;;;
8DA60793-4D1E-2A24-98EA-21293AE003F3;Как сбивать температуру при беременности;;;;;;;;;;
522B5B7D-7FAA-F1FC-1BF8-771DE21C90E6;Как быстро снять воспаление;NLACUvA_GP0;;;;;;;;;
3E3F374D-3650-D46C-C828-C6101911F5B0;Как избавиться от мокроты в горле;GO1R2HkSEAk;;;;;;;;;
975DE839-860E-A621-C7E0-2928DD10CA8B;Как накладывать жгут при артериальном кровотечении;VjgGDSRqAiM;;;;;;;;;
3BE1FA9B-739B-9E91-6AC4-AF6F2472A93E;Как выгнать воду из организма;;;;;;;;;;
23F30B48-73B1-4D40-75F5-66C9BDC973E7;Как отрезвить быстро;;;;;;;;;;
A2BD111D-4C08-5EEF-C6DC-3486C5594F99;Как быстро очистить кишечник;;;;;;;;;;
73DFBC1D-DECB-D4BB-0C09-83446186B39F;Как лечить ветрянку у взрослого;;;;;;;;;;
79253A94-33E1-1EA2-AAA4-62445E0825E9;Как обезболить горло;CYoGPbYvclk;;;;;;;;;
ADE6269A-2BCD-0252-6966-F1756D3201C7;Как оказать первую помощь пострадавшему;;;;;;;;;;
07D885FC-0594-E6FF-93D4-AB6BC5216DF6;Как избавиться быстро от синяков;UoeijfvSaiM;;;;;;;;;
F20C272A-5DF0-AAAE-0181-F17B91C00D39;Как быстро снять боль в горле;W7kbTEx1bgU;;;;;;;;;
ED073623-617C-15D5-18FA-C4FEA9F44A05;Как быстро снять зуд;;;;;;;;;;
5B7165D5-63FC-59D3-4EE9-67137897E41C;Как быстро снять головную боль;;;;;;;;;;
193322D0-A4AF-3AA5-BD2A-13A028C4ADF1;Как быстро избавиться от грибка;eQR4Xsh7hgU;;;;;;;;;
56DA79D4-D2B6-E740-7E1E-144200EE13AD;Как быстро избавиться от малярии;;;;;;;;;;
D37B5F04-1E9F-A541-D940-8E6C5267CC9D;Как быстро избавиться от глистов;;;;;;;;;;
88438B35-B7F7-C8E3-6392-31BCA4E9247A;Как быстро избавиться от поноса;;;;;;;;;;
2656D123-BF23-2621-6BEF-694A75F4EEB8;Как быстро избавиться от грибка ногтя;yfkaKeuZijA;;;;;;;;;
0B6338B1-2E71-205D-8B0E-F4BCE297FBC7;Как быстро избавиться от чесотки;NwwFg78Hle4;;;;;;;;;
76C1A2DB-3939-080B-1473-F099DDA72E06;Как начать ходить после перелома;;;;;;;;;;
4D9DD281-B782-09B6-EDDA-81291AEF9875;Как не заболеть гриппом при эпидемии гриппа;HIRBAp8c26w;;;;;;;;;
42CEF8D3-016B-6565-B8B0-3BD3884007BD;Как остановить понос и рвоту;qWUnLWPoNzQ;;;;;;;;;
2FE5E294-3369-2DA4-E13E-0524D36DADB8;Как навсегда бросить пить;iqQs0Z5Hmoo;;;;;;;;;
3DF8873D-DC61-2FA4-B8FB-ABDA1175B7EA;Как вернуть речь;h7DKIVi0k04;;;;;;;;;
8FB50D47-71A8-1E0D-2203-71AADDB68A07;Как вернуть чувствительность;a9d-l2PXPas;;;;;;;;;
05E8AF53-D4CB-9BCF-6C42-0E1C4773AE45;Как наладить кишечник;TJS5axcGddw;;;;;;;;;
EE1C45AC-26C1-5DA3-347F-F8B1E8A45EC1;Как быстро вывести воду из организма;W3XTJ3uCK-4;;;;;;;;;
A7A81011-02BA-6F3F-17C5-6E8274DD688E;Как лечить лимфоузлы;4xIYgCH5GfU;;;;;;;;;
BDE7307B-E146-084B-1EAB-8F75554698DA;Как быстро и навсегда бросить курить в 2018 году;;;;;;;;;;
19BF00DE-FDA4-9C87-7B52-FF3F4F36B05D;Как остановить кровь во рту;qWUnLWPoNzQ;;;;;;;;;
ACF54F5E-1843-B766-C213-14AAA2D658F2;Как вводить свечи;h0F-MvDCaS8;;;;;;;;;
21C28987-E62B-3B0F-7AA2-08509757D7C4;Как остановить кровь на голове;;;;;;;;;;
1717532D-2B9F-387A-B1A6-2A665170DF16;Как нужно пить травы;jey3vDdu-S4;;;;;;;;;
3B8951F1-5852-DEFB-ACB9-6EE22CFF0D76;Как облегчить боль от ушиба;;;;;;;;;;
160D21CF-0B0D-E415-3431-1463A007869E;Как быстро снять температуру в 2018 году;;;;;;;;;;
C7E7E20A-5602-EA13-96A8-1F809ADF4AA0;Как быстрее вылечить синяк под глазом;8_XwYbcnqvk;;;;;;;;;
D1C75106-CCCF-1A1F-8298-420920F7A577;Как обтирать водкой;O1yaarBnw9Q;;;;;;;;;
ADC98D91-6670-9196-C75A-5F5F0E860B7C;Как не быть бледной в 2018 году;9nGvIjHja3g;;;;;;;;;
0DB9AF7A-89EC-04BE-C270-2175EB927968;Как избавиться от изжоги;PW1phK5Dlxc;;;;;;;;;
1E69733C-7986-8D29-25FF-0F62D1C4B369;Как быстро избавиться от вшей и гнид;;;;;;;;;;
934FB90C-012B-5C12-791D-DFF81F304DA5;Как избавиться от потливости;zDCIwL_9b8c;;;;;;;;;
0D93DA66-0B90-8C15-663A-3D33808AF23D;Как избавиться от икоты;CvT3Y_LhZoM;;;;;;;;;
00800786-B21C-641C-FD16-EE7B0BE27EB7;Как облегчить боль в суставах;;;;;;;;;;
DD8BB22E-EA53-545E-EEB5-EC602F0EFDFA;Как безболезненно вырвать зуб;;;;;;;;;;
E8B60568-056E-0FB5-8017-1B247D24EE46;Как избавиться от жировиков;;;;;;;;;;
CAAB67AD-516F-788A-F8AF-97AD13B2811A;Как облегчить боль в спине;NUy2VEj4ixs;;;;;;;;;
E9FD6BED-2410-B6ED-4224-4BB2B570AA39;Как оказать помощь на месте при простой и неглубокой ране;;;;;;;;;;
C7E9A434-7B7E-94D1-810F-8BAFBC1AE9FF;Как обезболить зуб мудрости;L6mfpiAC3gs;;;;;;;;;
636C8B4C-689E-5CCE-BA9C-B2B801C8F470;Мозоли: как избавиться от проблемы;5c-eUqPyhWM;;;;;;;;;
C0A02048-42CC-F539-8487-F02C30E47BCE;Как облегчить боль в ногах;1TA5n2Upom0;;;;;;;;;
B72863CE-78BF-F121-B606-CADC6068E62C;Как обработать загноившуюся рану;;;;;;;;;;
