GUID идентификатор элемента;Название элемента;Адрес (youtube);Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
B8CBE405-D7A8-C93A-5AEE-69A008BC9009;Как приготовить вкусный шашлык в 2018 году;98iC7TDE85M;;;;;;;;;
BBF9F610-1CAC-C962-744D-632358263BC8;Как приготовить шашлык из кролика;;;;;;;;;;
87A3E4CC-4422-38D0-9D5B-2CEBF4D233F4;Шашлык из курицы в духовке;jzO0CimKT5E;;;;;;;;;
22B21B8A-51D6-7E62-B140-3B13FF5F21C1;Как приготовить шашлык из курицы в духовке;;;;;;;;;;
D367ED4F-03F4-DA24-0F87-DDFB89423480;Как вкусно приготовить шашлык;;;;;;;;;;
D7C2C0E5-56D5-3472-AFDD-F66FA87A4EFD;Как сделать шашлык в минералке;;;;;;;;;;
405C1D5E-6EF4-EF84-2656-3D0863EA9A1A;Как вкусно замочить шашлык;;;;;;;;;;
7492CFAB-32EC-09AE-9E2D-D48245792168;Шашлык из окорочков на сковороде;;;;;;;;;;
06542620-ED36-A406-F58E-BCAB35DE0FDD;Как приготовить шашлык в рукаве;;;;;;;;;;
7372EA42-8912-C13E-4DC4-FB4120FF263B;В чем лучше замачивать шашлык;;;;;;;;;;
BDE736D6-C69C-22E8-AD78-8E1F06B07CA0;Шашлык в духовке из свинины в рукаве;;;;;;;;;;
63F80F26-617C-BD62-37CA-F55F08668A31;Нежный шашлык из курицы;;;;;;;;;;
BFFA0871-4497-E74A-8F62-6A870F25CB02;Как сделать шашлык из куриных окорочков;;;;;;;;;;
1E90285A-2678-B32E-7478-51E4F5B66F9D;Как приготовить шашлык из свинины в духовке;U7LahBeYAi0;;;;;;;;;
E60E36FF-747E-5CC7-4693-F60BE9D8CBC8;Как лучше замариновать шашлык из курицы;Q9F8i0D6xQM;;;;;;;;;
D87ECAC6-DE7E-03C0-4A17-6715B5B22B07;Куриный шашлык в микроволновке;jbT3Wevd6d0;;;;;;;;;
43FF2DED-B002-6E57-3F03-9F747785296D;Куриный шашлык в кефирном маринаде;1OgwBJTdp98;;;;;;;;;
AE29C497-FDAC-9EA2-7DDD-6556CD902C26;Как приготовить необычный шашлык;pNArHucfB_E;;;;;;;;;
62D891C0-3169-1A9B-C2EE-C7EEEFE2BB47;Готовим острый шашлык с аджикой;wTrBoCaVH18;;;;;;;;;
76934324-BFF7-59F4-6D99-171BAA66FDD6;Свиной шашлык с грушами;JkqEq6hH-Eo;;;;;;;;;
E3B1315E-34CD-B21A-2191-754E89E2DB01;Шашлык из свинины в мультиварке;;;;;;;;;;
F67AE17D-8AE4-DEB0-B0CD-444139133F62;Шашлык от Сталика Ханкишиева;RHrdIbhkrRQ;;;;;;;;;
70D1B56C-14A2-E845-3D46-610CAA42A30E;Как приготовить шашлык быстро;;;;;;;;;;
1917E41C-61F8-7D25-1396-9CC37CFF5CC5;Как жарить шашлыки зимой;o_BVLHYASaM;;;;;;;;;
680293D9-E3B9-6DB8-3F26-0A9178D7AEAF;Как приготовить шашлык из рыбы: кулинарные советы;;;;;;;;;;
F03AA916-D50D-9015-F23F-005D0F1BB412;Как приготовить шашлык из осётра;;;;;;;;;;
935F9826-F954-83D5-AA5E-C0621F19B8AA;Какие салаты подать к шашлыку, барбекю;;;;;;;;;;
45193EA9-BAC7-2EFE-194A-20DEAADF4033;Как правильно приготовить шашлык;q3WfpweO92Y;;;;;;;;;
141D6D17-4E9C-53AD-5D41-F13EB6809D47;Как жарить шашлык из семги;ExPCUq9wSuk;;;;;;;;;
38E76FE8-7DE8-89EE-10D6-8DF97BBDEE6E;Как приготовить шашлык из курицы в аэрогриле;2rmZVGpuako;;;;;;;;;
474A734F-1503-98F4-9F93-59169B564E22;Как приготовить ароматный шашлык из курицы;P_ehiMHZmtQ;;;;;;;;;
0FD7FB1E-B49C-CB2A-DF15-449795ABBA10;Как вкусно замариновать шашлык;Kp0dW5qo_k4;;;;;;;;;
7140AA04-0BF6-CDD1-BB6A-354B2595C2E2;Как замариновать шашлык из свинины, чтобы мясо было сочным;;;;;;;;;;
B5EC79B0-43A7-0FB3-1C93-5B24F252BE7C;Как приготовить шашлык в домашних условиях в духовке;;;;;;;;;;
1C65C8EF-85F3-3C15-6269-CF337BEB24DB;Шашлык из кальмаров;;;;;;;;;;
F01C9205-93E5-4A35-D330-605CBAC29540;Шашлык на пиве (свинина, курица, говядина и баранина);;;;;;;;;;
2604A08E-A216-CCC3-6C21-B6428B50723D;Как приготовить куриный шашлык;cNMkIxjN7gw;;;;;;;;;
F1C0FF80-9E18-9776-BCFF-CD55EED3CB2D;Шашлык из корейки;;;;;;;;;;
BB92840B-059A-AB4A-E60F-EB8C9BEAAC25;Как приготовить шашлык в маринаде из киви в мультиварке;p-tVTUc47_g;;;;;;;;;
739338B3-6369-3754-C153-6C7BD3F214B0;Шашлык из рыбы в духовке;;;;;;;;;;
42A5BECA-E2D9-F450-262B-2FCD46982EDE;Домашний шашлык на шпажках из курицы;;;;;;;;;;
36888F6F-E51F-1B45-E8D8-3FBE8D6528D8;Шашлык в майонезе с аджикой;;;;;;;;;;
A937C57E-ECE1-8A15-7F4A-CAC1C0BF3A94;Как приготовить шашлык по-восточному;pCRuBQvLUTY;;;;;;;;;
CFEA8104-5B29-6963-5F24-2CC481A0B77C;Как приготовить куриный шашлык с картошкой в духовке;;;;;;;;;;
91E05C4B-A69F-B32C-DB97-0369347A4D7E;Как приготовить кавказский шашлык;Vy1LGKATCeo;;;;;;;;;
86D81940-089B-DFBA-D55C-7996D094BF80;Какие есть оригинальные рецепты маринования шашлыков;;;;;;;;;;
A778D867-84EA-7DCF-0894-40FEF98BAD0F;Как приготовить шашлык из скумбрии;;;;;;;;;;
1388187F-9A8E-A57E-0197-A4513EBEAED4;Шашлык из свинины - рецепты приготовления;;;;;;;;;;
321D785F-BE24-B19E-34FB-9D3808B2F8A3;"Шашлык из овощей по&ndash;армянски";;;;;;;;;;
987E0C53-53E1-2E79-13D0-532CB9F44B44;Как приготовить шашлык из свинины с апельсинами;;;;;;;;;;
93CE8BA7-5074-34E8-BCDA-5FFEF515E3AE;Нежный шашлык в пряном маринаде;;;;;;;;;;
6C1732CE-2934-D60A-353E-DFC0FF8B7DAC;Какой шашлык самый вкусный;1z7g7QIjh20;;;;;;;;;
BC613D1B-E652-CE14-B3A9-57D273E4E06B;Как приготовить вкусный шашлык из курицы;kZ7pA9xVpCE;;;;;;;;;
ADB9B311-7386-0782-3806-D0FB79218898;Как приготовить шашлык на кефире;;;;;;;;;;
A5D30FA9-6BD9-96E6-0ACB-3C694D8B1A50;Как приготовить хороший шашлык;;;;;;;;;;
429F24B6-BC35-39A9-B194-855EAD462852;Как готовить шашлык в духовке;wGnAoxuoa_s;;;;;;;;;
4EEB5F59-9E8D-1802-C0C2-7C42112C8F53;Ароматный шашлык из курицы;;;;;;;;;;
70696707-7F0A-F324-FCDC-31748B9A06AD;Учимся делать правильный шашлык;Bg0Zo-AuVDc;;;;;;;;;
B7DDD68B-BA2B-3E9B-3C72-DB17C95DFD6D;Как сделать маринад к шашлыку из баранины;;;;;;;;;;
2FF38037-AF51-77A5-A8E0-A516F42DCC6A;Шашлык из семги;;;;;;;;;;
87E6753C-B0BB-709F-1703-F2AB152605D3;Куриный шашлык;;;;;;;;;;
4819AEDF-6EF4-49B7-B664-FE3D344BF49C;Пикник на балконе: как запечь шашлык в духовке;9H0zS6AKdRw;;;;;;;;;
071A9AE2-2C4C-0E14-B46E-C8D6E4628B85;Шашлык из курицы на гриле;G2a3ZbrpMa8;;;;;;;;;
EAF5338F-FCE7-83BF-1854-1112EC1B6901;Шашлык из лосося;;;;;;;;;;
AE0CF048-B5A8-CB95-FED4-72192D4C75A2;Идеальные шашлыки;WUmCsAyg2P4;;;;;;;;;
EA5F9AAB-176F-9653-526B-6C65BD9B53D3;Как сделать шашлык сочным и вкусным;0ie97EFQMlc;;;;;;;;;
933A05A7-FC24-58BA-E9F3-F06FA77C0A75;Как замариновать мясо, чтобы шашлык быстро пожарился;;;;;;;;;;
D360BEBA-47AD-FFA7-8F6E-3A11140D5D7D;Шашлык из курицы в ореховом маринаде;;;;;;;;;;
40074473-1EAC-AC0B-611C-A227A82C7EAB;Куриные шашлыки в лимонном соке;QZ66fbiZmq8;;;;;;;;;
0B78F682-D95B-41F6-3902-4508537E6AB2;Шашлык из курицы в мультиварке;;;;;;;;;;
22721AD7-06CF-A652-2D9D-AAE8F6EC8433;Куриный шашлык в йогуртовом маринаде;;;;;;;;;;
7E47A375-77B3-0900-3CFB-8CBC45541D06;Как сделать шашлык;;;;;;;;;;
35D6887D-4E22-E9C6-9D98-D6600A335CF0;Как приготовить шашлык из осетрины;G83uUhbkyfI;;;;;;;;;
2F72BCF7-F5DE-4A58-12B8-4C708DD60B82;Куриный шашлык в духовке;K5P7EaHAX1I;;;;;;;;;
473C1D55-39E0-3731-F28D-78B174CAE66C;Как приготовить шашлык в микроволновке;;;;;;;;;;
0DB6D20F-81E9-DBA3-825A-B8B0CF459FB7;Как приготовить шашлык по-азербайджански;;;;;;;;;;
CDA6CA8A-7059-DFF0-67C0-AA2CFA2C1A36;Шашлык по-домашнему;zyuQXvsT7ZA;;;;;;;;;
0F143EC2-44A9-8D1A-4A21-A44EA50705F9;Сочный шашлык с сальсой из помидоров;cQhQf-kQ46A;;;;;;;;;
5B19F136-F380-B16E-4D22-6694B8DFBE26;Как приготовить шашлык по-канадски;;;;;;;;;;
8E650CC4-8242-4FDA-8912-23983AF724AC;Куриный шашлык с помидорами черри и ананасом;t_rbBKuSOsE;;;;;;;;;
B5AB2D64-83A7-DD70-4491-AA61C29954FC;Как приготовить шашлык на минералке;;;;;;;;;;
7DA79DE8-AF96-1DF4-5EF1-44270476D7A5;Шашлык из рубленого мяса;Lk8832A1B3U;;;;;;;;;
B2D093FF-0D1C-D7A5-0FAE-44265C8B441E;Шашлык из курицы с помидорами черри;;;;;;;;;;
670597DB-6C3E-16F1-F2F2-57B7192301B4;Как мариновать мясо на шашлыки;tknvQRZtKeE;;;;;;;;;
3CE59937-4573-BF19-CFB1-CE04D25183D4;Шашлык из куриной печени;Tn37TCBX7tQ;;;;;;;;;
B033CF09-BABC-97A6-912F-3F52B7BB07E0;Как приготовить шашлык из курицы: пошаговый рецепт;;;;;;;;;;
CB41932E-4CD8-0916-98AB-26BA174E961B;Как приготовить сочный шашлык из свинины в духовке;hH7TAse6z0I;;;;;;;;;
665E3EB7-E348-9F05-DF68-C028168F482E;Шашлык в мятном маринаде;;;;;;;;;;
000EA69F-C79D-BADF-62D1-078273FB0E86;Шашлык из рыбы;#NAME?;;;;;;;;;
6C7F3DD9-6848-0874-432F-04CC49EAB349;Шашлык из печени на сковороде;;;;;;;;;;
397F7ED7-34FB-EDCA-E579-244AF97D13C2;Чем отличается летний шашлык от зимнего;jb938mqyriM;;;;;;;;;
A0F3C255-01D1-6EDC-6699-38B70AEB99B6;Шашлык из курицы по-грузински;;;;;;;;;;
34843A75-6EFB-0B1E-086C-683C367D875D;Как сделать вегетарианский шашлык из овощей;;;;;;;;;;
564E87C4-292D-FEDC-E6BE-90DAB9C29555;"Куриные шашлыки &quot;Якитори&quot;";;;;;;;;;;
0D23516C-262A-0BFD-E05F-FECEBF3751C1;Как сделать шашлык из семги;;;;;;;;;;
29AD3DE5-2303-03E6-5E91-3CA2E48D9842;Самый простой способ сделать шашлык;;;;;;;;;;
04E1EAF6-E3B7-E293-EA22-AE6B9FA36865;Как приготовить шашлык с салом;;;;;;;;;;
078C721F-133E-0350-A387-BA4F8FF49F98;Нежный шашлык в духовке;;;;;;;;;;
B8381955-B3FD-AE31-9432-8E8C51AEBBC2;Медовый шашлык из курицы;EDx9BoFi8zI;;;;;;;;;
EDF3AA2D-5F60-1854-0203-6BBD9B8C4879;Как приготовить шашлыки;;;;;;;;;;
383E5853-B14C-ECCD-B81D-05B7A205A2A3;Маринованный рыбный шашлык на шампурах из розмарина;tzc7QCToSNI;;;;;;;;;
04537E6D-775B-EF4D-DB91-3B5753A2EA4F;Куриный шашлык с ананасом;#NAME?;;;;;;;;;
6D5D9DFE-9709-CD38-9EAE-093A459A9183;Шашлык из курицы;fZZD_PCQHs0;;;;;;;;;
2C6D7931-310F-ABEC-792A-5F50825FE71E;Шашлык из овощей;mQGaRJOyzjY;;;;;;;;;
5E2EA75E-DD1E-702D-34D1-C0600564DB03;Шашлык из креветок с чили и тыквенными семечками;uX4u-rGodTw;;;;;;;;;
19F23229-AC3B-8FE3-ECF4-B731A588B2FB;Куриный шашлык с цукини и луком;yk-FdPWUlWM;;;;;;;;;
B9F95348-BF0E-E2A8-50C1-EEF0ECF5629E;Пряно-сладкий шашлык из телятины;My75-i2cb08;;;;;;;;;
F9230DE7-622B-F302-185C-611D83284AC2;Шашлык из креветок с апельсином;WP3f3qGQtwQ;;;;;;;;;
714F98EF-D5DA-1D1C-E0B7-6F6F1FE78C38;Как приготовить шашлык из индейки с шампиньонами на мангале;;;;;;;;;;
F7C95121-A0F3-669F-3919-6937F7D22C06;Шашлык из рыбы с креветками;iLRnkbG8Hn4;;;;;;;;;
10DAEE27-5E88-DE4D-9C10-D51B592AC16C;Как приготовить шашлык из куриных крылышек;;;;;;;;;;
24EBC62D-582B-08B4-D2DE-4146B47890B0;Как приготовить шашлык из красной рыбы в духовке;;;;;;;;;;
46A72937-47EB-840C-1344-FE78CCE344CA;Как приготовить шашлык на гриле в томатном соке;;;;;;;;;;
7ACD8419-5238-EA82-CC54-CF4226AB42A8;"Шашлык &quot;Улетевшие птички&quot;";;;;;;;;;;
D0B7DE29-491B-17B1-FE05-ACC743FF08AD;Как приготовить шашлык из курицы на пиве с молоком;;;;;;;;;;
C9A1FC13-323B-5900-7F2B-C29E87CFD867;Как приготовить армянский шашлык;;;;;;;;;;
2984B52A-43B0-E752-A482-029339EF62BC;Как приготовить шашлык из свинины, маринованный в яблочном соке;;;;;;;;;;
CC29B4B8-7307-5643-6985-AFF8E9B3167C;Как приготовить шашлык из свинины на минералке;;;;;;;;;;
25C72CFC-C6B3-6EEB-BA7E-D38C4E2CD5A4;Как приготовить шашлык из свинины в кока-коле;;;;;;;;;;
957EFE9B-3A4D-B3E5-13EE-7FEEC3AFA1EF;Как приготовить шашлык по чешскому рецепту;;;;;;;;;;
580C1700-92DF-9D30-E032-5DD712FEECBB;Как приготовить шашлык из свинины на кефире;;;;;;;;;;
F5645744-B5C3-EB69-979A-E95C93F510E8;Как приготовить шашлык из говядины с грушами;;;;;;;;;;
A06CD8A9-471B-0AB0-A7BB-288A3AA61B7A;Вкусный шашлык из баранины по-турецки;;;;;;;;;;
1B96BD6B-DC12-8982-DB7F-7A98492372C6;Как приготовить шашлык из куриной печени;;;;;;;;;;
