Название элемента;Заголовок (title);Файл изображения для элемента;Адрес (youtube);Заголовок1-1;Ссылка1-1;Описание1-1;Заголовок2-1;Ссылка2-1;Описание2-1;Заголовок3-1;Ссылка3-1;Описание3-1;Заголовок4-1;Ссылка4-1;Описание4-1
"Как избавиться от тли на огурцах";"Что делать с тлей на огурцах";"https://st03.kakprosto.ru/tumb/680/images/article/2017/6/17/284013_59452567d494f59452567d498b.jpeg";"P87chhCci48";"Тля на огурцах: как бороться, народные средства, профилактика";"http://ksew.info/kak-borotsya-s-tlej-na-ogurcax/";"Тля – мелкое насекомое, которое поселяется большими колониями на листьях растений. Огурцы для неё – любимое лакомство. Чаще всего она ...";"Тля на огурцах: как бороться и чем обрабатывать";"http://vreditel-stoi.ru/tlya/tlya-na-ogurtsah.html";"Существует масса проверенных методов - народных и химических. Борьба с тлей на огурцах должна быть безопасной для человека.";"Тля на огурцах: как бороться, как уничтожить, что делать";"https://gidfermer.com/sadovodstvo/borba-s-vreditelyami/tlya-na-ogurcax-kak-borotsya.html";"Тля на огурцах: как бороться. Что делать, если на огурцах появилась тля. Как уничтожить тлю уксусом, нашатырным спиртом. Как спасти огурцы.";"Тля на огурцах - как бороться народными средствами и ... - apest.ru";"https://apest.ru/tlya/izbavlenie-ot-tli/tlya-na-ogurtsah/";"Всем начинающим и опытным садоводам будет интересно узнать, чем и как бороться с тлей на огурцах народными и химическими методами."
"Как избавиться от шершней";"Как избавляются от шершней";"https://st03.kakprosto.ru/tumb/680/images/article/2014/2/26/1_5331475c9f3065331475c9f33f.jpg";"-8hpwRB5Ssk";"Как избавиться от шершней под крышей дома, на даче и прочих ...";"https://apest.ru/nasekomye/shershni/kak-izbavitsya-ot-shershnej/";"С вопросом, как избавиться от шершней, сталкиваются не только дачники, но и жители многоэтажных домов. Для этого можно использовать химические ...";"Как избавиться от шершней и ос: быстро и безопасно - klop911.ru";"http://klop911.ru/shershni-i-osy/shershni/kak-izbavitsya-ot-shershnej-i-os.html";"Давайте рассмотрим несколько простых и эффективных методов, с помощью которых можно избавиться от шершней и ос, если эти насекомые стали ...";"Как избавиться от шершней под крышей, на даче, на чердаке";"http://hozuyut.ru/nasekomye-v-kvartire-i-v-dome/kak-izbavitsya-ot-shershnej-pod-kryshej.html";"Многих дачников волнует вопрос о том, как избавиться от шершней под крышей. Несмотря на то, что в присутствии этих насекомых есть своя польза , ...";"Как избавиться от шершней на даче: под крышей, в земле, в стене";"http://superda4nik.ru/kak-izbavitsya-ot-shershnej-na-dache/";"Как избавиться от шершней на даче: в стене, земле, если гнездо не видно. Народные средства борьбы с шершнями. Химические средства. Способы ..."
"Как сварить варенье из вишни без косточек";"Как приготовить вишневое варенье без косточек";"https://st03.kakprosto.ru/tumb/680/images/article/2013/10/14/1_527a03fcc6166527a03fcc61a0.jpg";"T2P_8M9_xFs";"Вишневое варенье без косточек на зиму - рецепт с фото";"https://finecooking.ru/recipe/vishnevoe-varene-bez-kostochek-na-zimu";"21 июл 2016 ... Сегодня же предлагаю еще один вариант этого изумительного ягодного лакомства - заготовим варенье из вишни без косточек.";"Варенье из вишни без косточек на зиму: рецепт";"http://www.svoimirykami.club/gotovim-bistro/konservatsiya/varene/vishnya/bez-kostochek.html";"Вообще, варенье из вишни без косточки, хоть и очень вкусное, но требует прямо-таки титанических усилий для своего приготовления. Это очень ...";"Варенье из вишни без косточек - AmAMaM.ru";"http://amamam.ru/varene-iz-vishni-bez-kostochek/";"Это прекрасное варенье для тех кто не боится трудностей и готов решиться на монотонную, но приятную работу по удалению косточек из вишен.";"Вишневое варенье без косточек - рецепт пятиминутки, густого, с ...";"https://galinanekrasova.ru/vishnyovoe-varene-bez-kostochek-retsepty-na-zimu.html";"Процесс удаления из вишни косточек – дело ... варенья из вишни без косточек, пригодятся."
"Как ухаживать за клубникой в августе";"Что делать с клубникой в августе";"https://st03.kakprosto.ru/tumb/680/images/article/2012/5/30/1_5255099a806b75255099a80710.jpg";"qHKraeEGca4";"Уход за клубникой после сбора урожая | В саду (Огород.ru)";"https://www.ogorod.ru/ru/sad/strawberry/10876/Uhod-za-klubnikoj-posle-sbora-urozhaya.htm";"23 июн 2017 ... Важной составляющей июльского ухода за клубникой является обрезка ... Не зная, как ухаживать за клубникой в августе, вы рискуете ...";"Уход за клубникой с августа по ноябрь: основные мероприятия ...";"https://leplants.ru/sad-i-ogorod/uhod-za-klubnikoj-s-avgusta-po-noyabr-osnovnye-meropriyatiya-pered-ukrytiem-na-zimu/";"22 авг 2016 ... Нужен ли уход за клубникой, после того как собран весь урожай? Что делать с ягодой в августе-сентябре? Чем и зачем укрывать ...";"Уход за клубникой осенью. Работы с клубникой осенью";"http://superda4nik.ru/uxod-za-klubnikoj-osenyu/";"Как только клубника перестала давать урожай, можно начинать обрабатывать ягодные кусты. Уход за клубникой в августе после сбора урожая такой:.";"Что делать с клубникой в августе - видео и советы | Sadigorod";"http://sadigorod.com/ru/klubnika-v-avguste/";"25 авг 2016 ... клубника, август, фото, подкормка, уход, обработка ... листья после сбора урожая, и вынести его за пределы садового участка (сжечь)."
"Какие средства помогают от зубной боли";"Как избавиться от зубной боли";"https://st03.kakprosto.ru/tumb/680/images/article/2014/6/6/1_53c6624fa363e53c6624fa367b.JPG";"Y--wQdS95Hc";"Чем снять зубную боль в домашних условиях - НоваДент";"https://www.novadent.ru/publikacii/statyi/chem-snyat-zubnuyu-bol-v-domashnikh-usloviyakh/";"Зубная боль считается наиболее сильной и мучительной в природе. К счастью, существуют способы избавиться от неё. Хотите узнать, чем снять ...";"Болит зуб сильная острая зубная боль как убрать чем снять LD";"https://www.lumident.kiev.ua/zubnaya-bol";"У Вас болит зуб?⭐Как быстро избавиться от сильной острой зубной боли⭐ Рекомендации врачей клиники Люми-Дент⭐ Бесплатная консультация!";"Обезболивающие препараты от зубной боли купить в Украине ...";"https://www.apteka24.ua/medikamenty/boleutoljajushtie-sredstva/ot-zubnoy-boli/";"Обезболивающие средства от зубной боли: ✅ Доставка в тот же день ✅ Ассортимент более 20 000 ✅ Круглосуточный колл-центр ☎ 22-44 - Звоните  ...";"Экстренные способы облегчения зубной боли. Стоматология";"https://medportal.ru/enc/stomatology/painless/6/";"Экстренные способы облегчения зубной боли. Зубная боль доставляет много беспокойства."
"Как открыть фейсбук";"Как работать в фейсбуке";"https://st03.kakprosto.ru/tumb/680/images/article/2014/6/24/1_53c2b2e5e83e153c2b2e5e841e.jpg";"QH9J2WqYcT4";"Моя страница";"https://ru-ru.facebook.com/%25D0%259C%25D0%25BE%25D1%258F-%25D1%2581%25D1%2582%25D1%2580%25D0%25B0%25D0%25BD%25D0%25B8%25D1%2586%25D0%25B0-196004460434522/";"Facebook («Фейсбу́к», [ˈfeɪsˌbʊk]) — крупнейшая социальная сеть в мире и одноименная компания (Facebook Inc.), владеющая ею. Была основана 4 ...";"Вход";"https://ru-ru.facebook.com/login/";"Свежие новости о социальной сети Facebook (фейсбук), события из жизни её основателя Марка Цукерберга на сайте RT.";"Facebook - Главная";"https://ru-ru.facebook.com/FacebookRussia/";"28 мар 2018 ... ТСН.ua разобрался, какие данные хранит о нас Facebook, и что нужно сделать, чтобы их максимально защитить.";"Семен Семенченко";"https://www.facebook.com/dostali.hvatit";"1 день назад ... Анатолий Шарий заявил, что за удалением его аккаунта в Фейсбук стоит Администрация президента."
"Как избавиться от зубной боли";"Как побороть зубную боль";"https://st03.kakprosto.ru/tumb/680/images/article/2013/10/10/1_527a094b88da7527a094b88de1.jpg";"WFAWPl9eJSI";"Как избавиться от зубной боли в домашних условиях – советы и ...";"https://4damki.ru/zdorove/kak-izbavitsya-ot-zubnoy-boli/";"Зубная боль – то, чего не пожелаешь даже врагу. Обычно она появляется внезапно. Как избавиться от зубной боли в домашних условиях? Что для этого ...";"Чем снять зубную боль в домашних условиях - НоваДент";"https://www.novadent.ru/publikacii/statyi/chem-snyat-zubnuyu-bol-v-domashnikh-usloviyakh/";"Зубная боль считается наиболее сильной и мучительной в природе. К счастью, существуют способы избавиться от неё. Хотите узнать, чем снять ...";"Как избавиться от зубной боли - Лайфхакер";"https://lifehacker.ru/kak-izbavitsya-ot-zubnoj-boli/";"Зубы могут разболеться в заграничной командировке, во время похода в горы, посреди ночи. Мы расскажем, как избавиться от зубной боли подручными ...";"Болит зуб? 10 советов как избавиться от зубной боли дома ...";"https://shkolazhizni.ru/health/articles/57847/";"Каждый из нас хоть раз в жизни сталкивался с зубной болью. Она появляется внезапно и в самый неподходящий момент. Зубная боль — самая  ..."
"Как лечить стоматит";"Как избавиться от стоматита";"https://st03.kakprosto.ru/tumb/680/images/article/2013/11/15/1_5292ffebccf005292ffebccf3e.jpg";"MjkmHV8wF0s";"КАК ЛЕЧИТЬ СТОМАТИТ В ДОМАШНИХ УСЛОВИЯХ + Фото ...";"https://www.uadent.com/kak-lechit-stomatit-v-domashnix-usloviyax/";"28 фев 2018 ... Сегодня мы поговорим о том, как лечить стоматит в домашних условиях, обсудим причины появления данного недуга, симптомы, ...";"Стоматит: чем лечить стоматит у детей и взрослых, симптомы и ...";"https://doc.ua/bolezn/stomatit";"Все про стоматит, причины появления и симптомы стоматита у детей и взрослых. Как и чем следует лечить стоматит во рту, на языке.";"Стоматит у детей - виды, симптомы, причины, лечение и ...";"https://www.moirebenok.ua/mother/zdorove-semi/kak-lechit-stomatit-u-rebenka/";"27 июл 2018 ... Ребенок жалуется на неприятные ощущения в полости рта и отказывается от еды? У него может быть стоматит. Родителям нужно ...";"Стоматит: причины и способы лечения | Еженедельник АПТЕКА";"https://www.apteka.ua/article/413710";"12 июн 2017 ... Регулярно развивающееся воспаление и появление язв во рту называют рецидивирующим афтозным стоматитом. Это самое ..."
"Как убрать бока";"Как избавиться от боков";"https://st03.kakprosto.ru/tumb/680/images/article/2016/11/25/1_58a1b7b6130c858a1b7b613104.jpg";"Bk3CMVXySps";"Как убрать живот и бока за неделю в домашних условиях — 2018";"https://hochu.ua/cat-health/fitness/article-78886-kak-ubrat-zhivot-i-boka-v-domashnih-usloviyah-bez-ispolzovaniya-nozha-video/";"20 сен 2017 ... Так, убрать живот и бока в домашних условиях можно с помощью правильных и регулярных упражнений и с помощью диеты. Последняя ...";"Как убрать бока и живот за 5 дней. Эффективные упражнения";"http://knyagna.ru/kak-ubrat-boka-i-zhivot/";"12 фев 2014 ... Как убрать бока и живот сегодня интересует многих женщин, ведь обзавестись ими некрасиво выступающими из-под облегающего ...";"Как быстро убрать живот и бока в домашних условиях? | Ответы ...";"https://uznayvse.ru/voprosyi/kak-byistro-ubrat-zhivot-i-boka-v-domashnih-usloviyah.html";"Пора приводить себя в форму: убирать живот и бороться с излишком жира. Как же быстро убрать живот и в короткие сроки стать обладательницей ...";"Как убрать бока? Все, что нужно знать. - Азбука Бодибилдинга";"http://ferrum-body.ru/kak-ubrat-boka.html";"2 май 2014 ... Ну а начать хотелось бы с того, что теме - как убрать бока посвящено превеликое множество информации в сети. Это один из самых ..."
"Как отключить роуминг на мегафоне";"Как отказаться от роуминга на мегафоне";"https://st03.kakprosto.ru/tumb/680/images/article/2011/9/14/1_5254fe6214b0d5254fe6214b4a.jpg";"MqNivrKAYFo";"Будь как дома — Официальный сайт «МегаФон» Московский ...";"https://moscow.megafon.ru/services/archive/archive/bud_kak_doma.html";"Звоните, отправляйте и принимайте SMS, пользуйтесь интернетом в поездках по России по тем же ценам, что и в Домашнем регионе. Стоимость  ...";"Запрет международного роуминга - МегаФон» Норильск и ...";"https://tay.megafon.ru/roaming/world/zapret.html";"Вы можете полностью отключить мобильную связь в роуминге, если не планируете ей пользоваться в поездке по миру. Услуга бесплатная и действует в ...";"Опция Мегафон «Роуминг, Гудбай»: описание, подключение и ...";"https://technologicus.ru/opisanie-opcii-megafon-rouming-gudbaj.html";"24 апр 2018 ... Описание опции Мегафон «Роуминг, Гудбай» ... после возвращения домой её необходимо отключить самостоятельно, иначе с Вашего ...";"Как отключить роуминг на Мегафоне - пошаговый план";"https://protarify.ru/megafon/kak-otklyuchit-rouming-na-megafone.html";"Рассмотрим все способы, как отключить роуминг на Мегафоне от самого простого (не выходя из дома) до более сложного (посещение офиса ..."
"Как обратиться в пенсионный фонд";"Как обратиться в пфр";"https://st03.kakprosto.ru/tumb/680/images/article/2013/11/15/1_52bbc1a22ec6152bbc1a22ec99.jpg";"9AEauDlPEbI";"Контакты и адреса";"http://www.pfrf.ru/contacts/";"Уважаемые пользователи группы! На странице размещаются новостные и графические материалы деятельности ПФР. Открыты обсуждения, где ...";"Пенсионный фонд Российской Федерации — Википедия";"https://ru.wikipedia.org/wiki/%25D0%259F%25D0%25B5%25D0%25BD%25D1%2581%25D0%25B8%25D0%25BE%25D0%25BD%25D0%25BD%25D1%258B%25D0%25B9_%25D1%2584%25D0%25BE%25D0%25BD%25D0%25B4_%25D0%25A0%25D0%25BE%25D1%2581%25D1%2581%25D0%25B8%25D0%25B9%25D1%2581%25D0%25BA%25D0%25BE%25D0%25B9_%25D0%25A4%25D0%25B5%25D0%25B4%25D0%25B5%25D1%2580%25D0%25B0%25D1%2586%25D0%25B8%25D0%25B8";"Пенсионный фонд РФ. Читайте последние новости на тему в ленте новостей на сайте РИА Новости.";"Пенсионный фонд РФ сегодня: свежие новости от Пенсионный ...";"https://news.rambler.ru/organization/pensionnyy-fond-rf/";"Официальный канал Пенсионного фонда Российской Федерации.";"Пенсионный фонд РФ - все новости и статьи - Газета.Ru";"https://www.gazeta.ru/tags/organization/pensionnyi_fond_rf.shtml";""
"Что такое киста бейкера";"Чем лечить кисту бейкера";"https://st03.kakprosto.ru/tumb/680/images/article/2014/8/27/1_54140ac11999954140ac1199d8.jpg";"vTVEwNFpMms";"ᐉ Лечение кисты Бейкера коленного сустава - центр ...";"https://www.meddiagnostica.com.ua/chto-my-lechim/zabolevaniya/kista-bejkera";"21 фев 2015 ... Киста Бейкера коленного сустава – скопление синовиальной жидкости в заднем завороте сумки коленного сустава.";"Киста Бейкера - лечение болезни. Симптомы и профилактика ...";"http://www.likar.info/bolezni/Kista-bejkera/";"Киста Бейкера (киста подколенной ямки). Киста Бейкера – это эластичное опухолевидное образование, которое развивается в подколенной ямке (на ...";"Подколенная киста (киста Бейкера) / Заболевания и состояния ...";"http://rheumatology.com.ua/ru/patients/diseases/%3Fview%3D351";"Киста Бейкера (подколенный бурсит) — представляет собой плотное эластичное образование округлой формы в подколенной ямки, заполненное  ...";"Кіста Бейкера: причини, симптоми, лікування в медичному центрі ...";"https://www.omega-kiev.ua/ua/surgery/operativnaya-ortopediya-i-travmatologiya/artroskopiya/kista-bejkera.html";"Кіста Бейкера - це патологічне рідинне новоутворення в ямці під коліном, яке розвивається через витікання синовіальної рідини. По-іншому хвороба ..."
