"GUID идентификатор элемента";"Название элемента";"Путь для раздела";"Адрес (youtube)";"Заголовок2-1";"Ссылка2-1";"Описание2-1";"Заголовок3-1";"Ссылка3-1";"Описание3-1";"Заголовок4-1";"Ссылка4-1";"Описание4-1";"Заголовок5-1";"Ссылка5-1";"Описание5-1";
"C2ABEF67-B639-1F96-9AFA-6B96658C50BA";"Как узнать сумму налога";"kak-uznat-summu-naloga";"https://support.google.com/youtube/answer/3250431?hl=ru&sa=U&ved=0ahUKEwjT0OTk7MzXAhUFwYMKHaF8D24QFggVMAA&usg=AOvVaw30D5QLG84uoDYm44woyPM5";"Taxer.ua — База знаний — Каким образом можно проверить ...";"null";"Для того, чтобы узнать о наличии задолженности, предприниматель может ... проверить, существует ли задолженность перед налоговой службой?";"Оплата государственных услуг - Как узнать, есть ли налоги и ...";"null";"У нас на сайте можно легко узнать задолженность по налогам, для этого достаточно просто ввести свои ... Как узнать сумму налога в режиме онлайн?";"Узнать сумму налога на имущество за 2016 год физические ...";"null";"21 окт 2015 ... В текущем году налогоплательщики Забайкальского края последний раз заплатили налог на имущество физических лиц по старым ...";"Как узнать (проверить) задолженность по налогам физического ...";"null";"Узнать задолженность по налогам по ИНН можно несколькими способами, ... Как узнать сумму налога и посмотреть онлайн по ИНН непросроченную ...";
"6BAE317D-B5F7-F4E1-1B11-EDC16C426307";"Как оплатить госпошлину";"kak-oplatit-gosposhlinu";"WfuPUJ2fcew";"Вопросы по оплате - Портал государственных услуг Российской ...";"null";"";"Как оплатить госпошлину за права - через онлайн сбербанк и ...";"null";"Основные способы оплаты. Размер госпошлины и что писать в квитанции. Способы оплаты госпошлины онлайн .";"Вопросы по оплате - Портал государственных услуг Российской ...";"null";"Нужно ли предоставлять квитанцию об оплате госпошлины при подаче ... Можно ли оплатить задолженность на сумму меньше рубля на портале?";"Оплатить госпошлину со скидкой 30% - Загранпаспорт через ...";"null";"Оплата пошлины онлайн через госуслуги со скидкой 30%. Инструкция по получению скидки при оплате государственной пошлины через интернет.";
"2F1279A0-E826-0748-75E3-323449322572";"Как получить налоговый вычет за квартиру";"kak-poluchit-nalogovyy-vychet-za-kvartiru";"uiV9c2sfCtM";"Налоговый вычет при покупке квартиры/дома - 2017 | Верни Налог";"null";"";"Налоговый вычет при покупке квартиры/дома - 2017 | Верни Налог";"null";"Если Вы купили квартиру в прошлом ... Вся процедура получения вычета ...";"Как получить налоговый вычет при покупке квартиры в 2017 году?";"null";"О том, как получить налоговый вычет через работодателя, Вы можете ... Если за год Вы работали в нескольких местах, Вам нужно взять справки с ...";"Получение налогового вычета при покупке квартиры в Украине ...";"null";"От налогового вычета ... Теперь вы знаете, как получить возврат налога на квартиру при её покупке. Если у ... за жестокое обращение с ...";
"1BD585A0-6105-3FA4-5199-4AB7827FEB58";"Как заполнять отчет о прибылях и убытках";"kak-zapolnyat-otchet-o-pribylyah-i-ubytkah";"https://www.youtube.com/watch?v=h_pQDHJG-Kk&sa=U&ved=0ahUKEwiD2cyM7czXAhWJ1IMKHSFzCekQtwIIFjAA&usg=AOvVaw2slnYpaisnaOqD7jD7UH5x";"Зображення для запиту Как заполнять отчет о прибылях и убытках";"null";"Как заполнить отчет о прибылях и убытках форма 2? В статье приведены рекомендации по оформлению отчета и заполненный образец формы ...";"Отчет о прибылях и убытках форма 2 образец заполнения ...";"null";"При оформлении отчета о прибылях и убытках образцом ... Каждая строка формы ОКУД 0710002 заполняется ...";"Отчет о прибылях и убытках - форма 2 (ОКУД 0710002) 2017";"null";"12 окт 2017 ... Рассмотрим правила ее заполнения в 2017–2018 годах. Что отражает отчет о прибылях и убытках. Какова структура формы 2 ...";"Отчет о прибылях и убытках - форма № 2 (бланк и образец ...";"null";"30 сен 2017 ... Отчет о финансовых результатах: пример заполнения ... форма 2 «Отчет о прибылях и убытках», форма 3 «Отчет об изменениях ...";
"37DCB7B8-DE31-CF94-F42B-E4559842DC04";"Как вернуть подоходный налог за квартиру в 2017 году";"kak-vernut-podohodnyy-nalog-za-kvartiru";"https://www.youtube.com/watch?v=yxPy5MSIP2c&sa=U&ved=0ahUKEwjpg9-77czXAhWN0YMKHQm_AR4QtwIIFjAA&usg=AOvVaw1oktYYRdciVsJjJTFJ6lXA";"Возврат налога при покупке квартиры в 2017 году | ПапаЮрист.ру";"null";"Простыми словами, с вас не будут взимать налог на доходы физических лиц до ... Для того чтобы успешно вернуть налог при покупке квартиры важно ... при покупке квартиры через налогового агента – работодателя в 2017 году, ... зарплаты не будет удерживаться исчисленный подоходный налог в виде ...";"Возврат НДФЛ в 2017 году | Всё про НДФЛ";"null";"За квартиру он получил вычет 78 000 рублей, ... Возврат подоходного налога при ... году · Как вернуть НДФЛ в 2017 году: условия, процедура, документы ...";"Налоговый вычет в 2017 году при покупке квартиры ...";"null";"27 мар 2017 ... Всё про налоговый вычет за 2016 год при покупке квартиры. ... Сколько можно вернуть налог с покупки квартиры: максимальная сумма возврата. ... легально выводить из-под обложения подоходным налогом. На ...";"Возврат процентов по ипотечному кредиту в 2017 году ...";"null";"Налоговый возврат при покупке квартиры в ипотеку ... Кроме этого возврат процентов по ипотечному кредиту в 2017 году могут .... Максимальная сумма, с которой заёмщик может вернуть проценты, составляет 2 миллиона рублей . ... Если уплаченная сумма подоходного налога низкая из-за маленькой ...";
"C7F38E52-495C-8CA6-B38F-7B01B657A1D2";"Как платить налог на квартиру";"kak-platit-nalog-na-kvartiru";"e-nLjLkKsH4";"Как правильно заплатить налог на недвижимость - Деньги: Курсы ...";"null";"10 июл 2017 ... В Украине до конца лета нужно заплатить налог за “лишнюю“ недвижимость. Платежки должны были прийти до первого июля, ...";"Налоги на недвижимость в 2017 году: кому и сколько платить - ТСН";"null";"18 апр 2017 ... Украинцы, которые имеют квартиру свыше 60 кв. м или дом свыше 120 кв. м., обязаны будут уплатить налоги за "лишние" квадратные ...";"Налог на недвижимость в Украине придется платить по-новому ...";"null";"7 апр 2017 ... В этом году украинцев, которые смирились с необходимостью платить налог на недвижимость, ждет сюрприз. Так как с 1 января 2017 ...";"Как платить налог на недвижимость в Украине в 2017 году";"null";"11 янв 2017 ... Как стало известно Domik.ua , в 2017 году некоторые украинцы должны будут заплатить новый налог на недвижимость. При этом в ...";
"C0C679DA-77CC-152F-9882-1E32AFDA592F";"Как посмотреть свою задолженность по налогам";"kak-posmotret-svoyu-zadolzhennost-po-nalogam";"_0BjO3fEsQg";"Каким образом можно проверить, существует ли задолженность ...";"null";"Для того, чтобы узнать о наличии задолженности, предприниматель может либо лично обратиться в органы налоговой службы, либо воспользоваться ...";"Узнать задолженность по налогам по ИНН. Проверить и ...";"null";"Проверить и оплатить налоги налоги физических лиц. Проверка задолженности, оплата налогов и подписка на уведомления о новых начислениях.";"Узнай свою задолженность - Федеральная налоговая служба";"null";"Узнай свою задолженность ... и транспортных средствах, о суммах начисленных и уплаченных налоговых платежей, о наличии переплат; осуществлять ...";"Задолженность налоги онлайн по ИНН";"null";"20 фев 2015 ... Яндекс.Деньги запустили новый сервис, с помощью которого можно проверить свою задолженность по налогам онлайн по ИНН ...";
"3F45F6A7-7E9F-6D73-D161-CFFC91CFA3DD";"Как получить имущественный налоговый вычет";"kak-poluchit-imushchestvennyy-nalogovyy-vychet";"q-GqyNe0ZaA";"Как получить вычет - Налогия";"null";"";"Имущественный вычет - Верни Налог";"null";"Процесс получения вычета состоит из: сбора и подачи документов в налоговую инспекцию, проверки документов ...";"Как получить налоговый вычет при покупке квартиры в 2017 году?";"null";"Пошаговое описание процесса получения имущественного налогового вычета при покупке квартиры/дома/земли.";"Как получить имущественный налоговый вычет у работодателя ...";"null";"В этой статье мы рассмотрим порядок получения налогового имущественного вычета у работодателя.";
"43C53ABC-FDFC-7B0F-44A0-A961D738228A";"Как получить выписку из егрюл в налоговой";"kak-poluchit-vypisku-iz-egryul-v-nalogovoy";"lxOrK7MVkXs";"Получение выписки из ЕГРЮЛ или ЕГРИП 2017 самостоятельно ...";"null";"Чтобы получить выписку из ЕГРЮЛ или ЕГРИП с печатью налоговой, необходимо подать заявление в налоговый орган в свободной форме. Выписка из ...";"егрюл - Федеральная налоговая служба";"null";"Выписку из ЕГРЮЛ/ЕГРИП о конкретном юридическом ... подписанного усиленной квалифицированной электронной подписью, можно получить здесь.";"Получить выписку из ЕГРЮЛ/ЕГРИП удобнее в электронном виде";"null";"28 авг 2015 ... Получить выписку из ЕГРЮЛ/ЕГРИП можно на сайте ФНС России при ... должностным лицом налогового органа и заверена печатью.";"Выписка из ЕГРЮЛ в бумажной форме - ИФНС 46";"null";"Документальную выписку из реестра ЕГРЮЛ/ЕГРИП можно получить за 1 рабочий ... выдает регистрирующий орган (Федеральная налоговая служба).";
"8D62C1C0-ADEE-8C5B-05E9-26ADBF63DEF6";"Как сдать баланс в 2017 году";"kak-sdat-balans";"https://www.youtube.com/watch?v=D-hIcG4cdNw&sa=U&ved=0ahUKEwjfjruI7szXAhVm7oMKHeDiA2wQtwIIFjAA&usg=AOvVaw0r7f0cU5EAPL26QmxTyWZs";"Срок сдачи бухгалтерского баланса за 2017 год";"null";"19 апр 2017 ... Срок сдачи годового бухгалтерского баланса за 2017 год. Последний день сдачи баланса за 2017 год. Когда сдавать бух. баланс ООО.";"Финансовая отчетность предприятия (Украина) - 2017 ... - Бухучет";"null";"Что eще сдавать в статистику? ... А промежуточная финансовая отчетность в составe баланса и отчета о ... Отчетным периодом предприятия, кoторое ликвидируется, является период c началa года дo момента ликвидации (ч.";"Баланс. Форма №1 | «Дебет-Кредит» - Бланки";"null";"Рассмотрим, для кого применение МСФО является обязательным уже сегодня, а для кого это станет обязанностью с 2018 года. 08.11.2017 9910.";"Календарь бухгалтера на 2017 год — Все сроки сдачи отчетности!";"null";"Удобный календарь бухгалтера на 2017 год с разделением на ОСНО, УСН и ... годовую декларацию предстоит сдать всем предприятиям, на балансе ...";
"8DFACB8C-0D3A-163F-98B7-F10652F6F64B";"Как заполнить налоговый вычет в 2017 году";"kak-zapolnit-nalogovyy-vychet";"https://www.youtube.com/watch?v=zfoI6iWyseY&sa=U&ved=0ahUKEwiu1qGa7szXAhUF54MKHRN1AtQQtwIIFjAA&usg=AOvVaw2hgr4qNwAjW32QxoiKlPuZ";"Налоговый вычет в 2017 году | Всё про НДФЛ";"null";"12 янв 2017 ... Налоговый вычет 2017 года могут заявить граждане, проживающие .... Заполнить декларацию по подоходному налогу (форма 3-НДФЛ); ...";"3-НДФЛ за обучение: образец в 2017 году";"null";"31 мар 2017 ... Приводим актуальный образец заполнения в 2017 году декларации ... и не волноваться о шансах получить налоговый вычет за учебу.";"Заявление на налоговый вычет на ребенка: образец 2017 года";"null";"5 апр 2017 ... Заявление на налоговый вычет на ребенка в 2017 году: образец ... В составе этих вычетов в 2017 году предусмотрены стандартные вычеты на ... Лист А декларации 3-НДФЛ: образец заполнения в 2017 году · Как ...";"Декларация 3-НДФЛ: изменения в 2017 году";"null";"22 фев 2017 ... К 2017 году форма 3-НДФЛ была изменена. ... «Скачиваем для заполнения декларацию 3-НДФЛ за 2016 год». ... рассчитывать одну из ключевых строк декларации – 040 «Сумму налоговых вычетов» (см. выше).";
"4746CAA5-6B59-3408-E077-911EA0CC9C93";"Как заполнить справку о доходах";"kak-zapolnit-spravku-o-dohodah";"NioslkhWzcA";"Работник желает получить жилищную субсидию: как должна ...";"null";"486/202/524/455/3370. В рамках этой статьи рассмотрим порядок заполнения Справки о доходах для назначения субсидии для возмещения расходов ...";"7. Примеры заполнения справок о доходах, расходах, об ...";"null";"Примеры заполнения справок о доходах, расходах, об имуществе и обязательствах имущественного характера. 26 февраля 2015. СКАЧАТЬ:.";"Образец заполнения справки о доходах, расходах, об ...";"null";"Образец заполнения справки о доходах, расходах, об имуществе и обязательствах имущественного характера. В Управление по работе с личным ...";"Пример заполнения справки о доходах, расходах ... - ФАНО России";"null";"3 фев 2017 ... Пример заполнения справки о своих доходах, расходах, об имуществе и обязательствах имущественного характера для ...";
"18C555A1-65C4-FEC3-C887-77CE7C5B6391";"Как рассчитать подоходный налог";"kak-rasschitat-podohodnyy-nalog";"FFU5tJ4EtDY";"Налог на доходы физических лиц 2017,подоходный налог в ...";"null";"Что такое и какой подоходный налог в Украине? Ставка налога на доходы ... Подоходный налог с больничного листа рассчитывается и уплачивается на ...";"Подоходный налог на доходы физических лиц: расчет, пример ...";"null";"Подоходный налог рассчитывается со всех видов заработных плат с учетом индексации в размере 13%, в том числе и с минимальной, а в случае если ...";"Подоходный налог с зарплаты – как рассчитать в 2017-2018 году ...";"null";"Перед тем как рассчитывать подоходный налог с зарплаты (НДФЛ) сначала необходимо учесть налоговый вычет. По законодательству РФ, налоговый ...";"Подоходный налог - 2017 в Украине: изменения, комментарии ...";"null";"Подоходный налог - 2017 в Украине: изменения, комментарии, письма ГНС, решения судов, разъяснения.";
"9FBFD3C5-5BDA-1790-4E94-3B70AF59E5A8";"Как платить налоги физическим лицам";"kak-platit-nalogi-fizicheskim-licam";"GNWC0U67v_Q";"Налог на доходы физических лиц 2017,подоходный налог в ...";"null";"Льготы, удержание, возврат и возмещение, сроки уплаты, куда платить и как ... Налог на доходы физических лиц (далее – НДФЛ), также как и налог на ...";"НДФЛ: налог на доходы физических лиц Украины, расчет НДФЛ";"null";"НДФЛ - основной налог на прибыль физических лиц Украине. Плательщиками НДФЛ .... И в том, и в другом случае, нужно платить налоги с дохода.";"Ставки НДФЛ - подоходный налог в Украине в 2017 году - Индексы";"null";"С 2011 года ставки налога на доходы физических лиц (НДФЛ) определяются в IV-м разделе Налогового кодекса Украины (НКУ). Особо отметим, что для ...";"Налог на доходы физических лиц - Интерактивная бухгалтерия";"null";"Налог на доходы физических лиц: Аналитические материалы ..... с физлицами, часто задаются вопросом: в какой бюджет платить НДФЛ, военный сбор ...";
"0CAB965A-2528-49C5-5085-A45AEBE8BA62";"Как написать заявление на налоговый вычет в 2017 году";"kak-napisat-zayavlenie-na-nalogovyy-vychet";"dqqqRvCi1HA";"Заявление на налоговый вычет на ребенка: образец 2017 года";"null";"5 апр 2017 ... Образец заполненного заявления на предоставление стандартных налоговых вычетов по НДФЛ на детей в 2017 году.";"Заявление на налоговый вычет на ребенка в 2017 году: образец";"null";"2 окт 2017 ... Заявление на налоговый вычет на ребенка в 2017 году, образец: кто может написать заявление и как правильно его составить.";"Бланк заявления на стандартные налоговые вычеты на детей в ...";"null";"3 ноя 2017 ... Налоговые вычеты 2017 года, которые могут получить обычные физические. Образец заявления на налоговый вычет на ребенка ...";"Образец заявления на вычет по НДФЛ на ребенка 2017";"null";"30 мар 2017 ... Заявление на стандартный налоговый вычет на ребенка (детей) ... на получение налогового вычета на ребенка (детей) в 2017 году.";
"CCDDEBFE-93D9-60FA-5DC3-21CB4A0837A5";"Как получить такс фри";"kak-poluchit-taks-fri";"Snmv7DcAprM";"Как оформить чеки Tax Free и получить возврат - Туризм - TCH.ua";"null";"";"Как оформить чеки Tax Free и получить возврат - Туризм - TCH.ua";"null";"11 мар 2014 ... Tax Free - это возможность получать денежное возмещение части налога на добавленную стоимость (НДС), входящего в стоимость ...";"Возврат Такс Фри в Украине - Life in travel";"null";"Узнайте как получить выплаты по чекам Тax Free (Такс Фри) в Украине. Условия для получения возмещения по формам Тax Free Global Blue. Список  ...";"TAX FREE В УКРАИНЕ 2016: КАК ОФОРМИТЬ И ПОЛУЧИТЬ ...";"null";"24 июл 2016 ... Tax Free – это возможность получать денежное возмещение части налога на добавленную стоимость (НДС), что входит в стоимость ...";
"11D55552-4478-7E12-C8E4-D511998C8D3A";"Как получить налоговый вычет на ребенка в 2017 году";"kak-poluchit-nalogovyy-vychet-na-rebenka";"0hafTSUaJxU";"Налоговый вычет на детей в 2017 году: размеры, оформление";"null";"22 ноя 2016 ... В статье: кому полагается детский вычет и в какой сумме;; в течение какого периода можно получать вычет;; как оформить и получить ...";"Налоговый вычет на детей в 2017 году: размеры лимиты";"null";"22 мар 2017 ... Кому предоставляют вычеты на детей. Если на обеспечении работника- резидента есть дети, то он вправе получать стандартные ...";"Заявление на налоговый вычет на ребенка: образец 2017 года";"null";"5 апр 2017 ... Стандартный налоговый вычет на ребенка в работодатель в 2017 году вправе предоставить только после получения от работника ...";"Стандартные налоговые вычеты по НДФЛ на детей в 2017 году ...";"null";"Вычет может получить любой родитель, ... Стандартный вычет на ребенка ... когда налоговую льготу на одного и того же ребенка получают сразу 4 человека.";
"9B388D76-4B3B-98C3-DFE4-144D69A8044B";"Как перечислять налоги в 2017 году";"kak-perechislyat-nalogi";"https://www.youtube.com/watch?v=-Fn3zhPxbjY&sa=U&ved=0ahUKEwi3nKWj78zXAhVK7IMKHTB5CqcQtwIIFjAA&usg=AOvVaw3yfzzF9FrRDsM-BcSoZF5Y";"Страховые взносы в 2017 году: что изменилось";"null";"3 ноя 2016 ... Новая глава Налогового кодекса РФ 34 «Страховые взносы» начнет .... Перечислять страховые взносы с 2017 года (кроме взносов «на ...";"Фиксированный платеж в Пенсионный фонд в 2017 году для ИП";"null";"Как в 2017 году изменятся страховые взносы для ИП в пенсионный фонд ... С 2017 года сбор и учёт страховых взносов передаётся Федеральной налоговой ... ИП за себя в 2017 году, будут перечислять не в Пенсионный фонд, а в ...";"Страховые взносы в 2017 году: изменения, свежие новости";"null";"До 2010 года налоговые органы уже занимались сбором платежей на страхование ... Максимальные взносы в ПФР в 2017 году ИП за себя составляют 187 200 ... Сколько должны перечислять плательщики взносов за работников.";"Что изменится в 2017 году: налоги, страховые взносы, пособия ...";"null";"4 дек 2016 ... В связи с этим с 2017 года в часть первую Налогового кодекса ...... Прежде, напомним, перечислять взносы и сдавать отчетность по ...";
"B568E686-C9F6-23E2-4B21-ABC29AEAB570";"Как подавать декларацию о доходах в 2017 году";"kak-podavat-deklaraciyu-o-dohodah";"http://ubr.ua/finances/taxes/kak-ukraintsam-podat-nalohovye-deklaratsii-i-ne-narvatsja-na-shtrafy-hfs--3835550&sa=U&ved=0ahUKEwiehKm_78zXAhWky4MKHSQVBXsQFggVMAA&usg=AOvVaw1wARGfESAPaptDB9i_jLe8";"Декларационная кампания — 2017: кого коснется и как подать ...";"null";"13 янв 2017 ... Граждане должны отчитаться за доходы 2016 год. Декларацию нужно подавать как предприниматели, так и те, кто работает по найму.";"Как в Украине не нарваться на штрафы при подаче налоговых ...";"null";"1 мар 2017 ... Когда подавать декларацию в 2017 году. До 1 мая украинцы должны подать декларации о доходах по итогам 2016 года. Образец ...";"Декларация о доходах физических лиц - 2017 (Украина) - Бухучет";"null";"·05· Куда подавать декларацию в случае смены вашего налогового адреса? .... ·01· Декларирование доходов за 2013 год проводится по новой форме ...";"Декларирование доходов в 2017 году - по обновленной ...";"null";"22 груд. 2016 ... Налоговики напоминают, что с 1 января 2017 года начинается кампания ... лиц обязаны подать годовую декларацию о доходах.";
